fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
accessrightsmask,,,,False,,,true,0,0,0,3,0,0,0,0,0,0,0,,,,Account,Accessrightsmask,Accessrightsmask__c
accessteam,,,,False,,,true,2,0,0,0,0,0,0,0,0,0,0,,,,Account,Accessteam,Accessteam__c
accountcasessgrid,,,,False,,,true,2,0,0,0,0,0,0,0,0,0,0,,,,Account,Account_Alert__c,Account_Alert__c
accountclassificationcode,Account Classification,picklist,none,False,,"1: A, 276530000: B, 276530001: C, 100000001: D, 100000000: E, 276530002: S, 276530003: N/A, 276530004: aa, 276530005: bb, 276530006: cc, 276530007: ss",true,2,12,0,0,0,0,0,0,0,0,0,Account,CRM Account Classification,CRM_Account_Classification__c,Account,Account_Classification__c,Account_Classification__c
accountid,,,,False,,,true,0,23,0,1,0,8,0,12,0,0,0,,,,Account,Account_18_Digits_ID__c,Account_18_Digits_ID__c
accountnumber,Sequence Number,nvarchar,none,False,,,true,0,1,0,0,0,0,0,0,0,0,0,,,,Account,AccountNumber,AccountNumber
accountopportunitiesgrid,,,,False,,,true,2,0,0,0,0,0,0,0,0,0,0,,,,Account,Accountopportunitiesgrid,Accountopportunitiesgrid__c
activityid,,,,False,,,true,0,0,0,0,0,0,0,7,0,0,0,,,,Account,LastActivityDate,LastActivityDate
activitytypecode,,,,False,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Activitytypecode,Activitytypecode__c
actualclosedate,,,,False,,,true,0,0,0,0,0,0,3,1,0,0,0,,,,Account,Actualclosedate,Actualclosedate__c
actualend,,,,False,,,true,0,0,0,0,0,0,2,0,0,0,0,,,,Account,Actualend,Actualend__c
actualrevenue,,,,False,,,true,0,0,0,0,0,0,1,0,0,0,0,,,,Account,AnnualRevenue,AnnualRevenue
actualvalue,,,,False,,,true,0,0,0,0,0,0,3,0,0,0,0,,,,Account,Actualvalue,Actualvalue__c
address1_addresstypecode,Physical Address Type,picklist,none,False,,"3: Physical, 1: Bill To, 2: Ship To, 4: Other",true,2,0,0,0,0,5,0,0,0,0,0,,,,Account,Physical Address Type,Physical_Address_Type__c
address1_city,Physical Address City,nvarchar,none,False,,,true,2,17,0,0,0,3,0,0,0,0,0,,,,Account,Business_Address__City__s,Business_Address__City__s
address1_composite,Physical Address,ntext,none,False,,,true,1,0,0,0,0,0,0,0,0,0,0,,,,Account,Physical Address,Physical_Address__c
address1_country,Physical Address Country/Region,nvarchar,recommended,False,,,true,2,0,0,0,0,2,0,0,0,0,0,,,,Account,BillingCountry,BillingCountry
address1_county,Physical Address County,nvarchar,none,False,,,true,0,0,0,0,0,1,0,0,0,0,0,,,,Account,Physical Address County,Physical_Address_County__c
address1_fax,Physical Address Fax,nvarchar,none,False,,,true,0,1,0,0,0,0,0,0,0,0,0,,,,Account,Physical Address Fax,Physical_Address_Fax__c
address1_freighttermscode,Physical Address Freight Terms,picklist,none,False,,"1: FOB, 2: No Charge",false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address1_latitude,Physical Address Latitude,float,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address1_line1,Physical Address Street 1,nvarchar,none,False,,,true,3,0,0,0,0,1,0,0,0,0,0,,,,Account,BillingStreet,BillingStreet
address1_line2,Physical Address Street 2,nvarchar,none,False,,,true,2,0,0,0,0,1,0,0,0,0,0,,,,Account,Physical Address Street 2,Physical_Address_Street_2__c
address1_line3,Physical Address Street 3,nvarchar,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address1_longitude,Physical Address Longitude,float,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address1_name,Physical Address Name,nvarchar,none,False,,,true,2,1,0,0,0,2,0,0,0,0,0,,,,Account,Physical Address Name,Physical_Address_Name__c
address1_postalcode,Physical Address ZIP/Postal Code,nvarchar,none,False,,,true,2,0,0,0,0,2,0,0,0,0,0,,,,Account,Business_Address__PostalCode__s,Business_Address__PostalCode__s
address1_postofficebox,Physical Address Post Office Box,nvarchar,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address1_primarycontactname,Physical Address Primary Contact Name,nvarchar,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address1_shippingmethodcode,Physical Address Shipping Method,picklist,none,False,,"1: Airborne, 2: DHL, 3: FedEx, 4: UPS, 5: Postal Mail, 6: Full Load, 7: Will Call",true,0,0,0,0,0,5,0,0,0,0,0,,,,Account,Physical Address Shipping Method,Physical_Address_Shipping_Method__c
address1_stateorprovince,Physical Address State/Province,nvarchar,recommended,False,,,true,2,15,0,0,0,10,0,4,0,0,0,,,,Account,BillingState,BillingState
address1_telephone1,Physical Address Phone,nvarchar,none,False,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Physical Address Phone,Physical_Address_Phone__c
address1_telephone2,Physical Address Telephone 2,nvarchar,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address1_telephone3,Physical Address Telephone 3,nvarchar,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address1_upszone,Physical Address UPS Zone,nvarchar,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address1_utcoffset,Physical Address UTC Offset,int,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address2_addresstypecode,Bill To Address Type,picklist,none,False,,"3: Physical, 1: Bill To, 2: Ship To, 4: Other",true,0,0,0,0,0,5,0,0,0,0,0,,,,Account,Bill To Address Type,Bill_To_Address_Type__c
address2_city,Bill To City,nvarchar,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,Account,BillingCity,BillingCity,,,
address2_composite,Bill To Address,ntext,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address2_country,Bill To Country/Region,nvarchar,none,False,,,true,0,0,0,0,0,1,0,0,0,0,0,Account,BillingCountry,BillingCountry,Account,BillingCountry,BillingCountry
address2_county,Bill To County,nvarchar,none,False,,,true,0,0,0,0,0,1,0,0,0,0,0,,,,Account,Bill To County,Bill_To_County__c
address2_fax,Bill To Fax,nvarchar,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address2_freighttermscode,Bill To Freight Terms,picklist,none,False,,1: Default Value,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address2_latitude,Bill To Latitude,float,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address2_line1,Bill To Street 1,nvarchar,none,False,,,true,0,0,0,1,0,0,0,0,0,0,0,Account,BillingStreet,BillingStreet,Account,BillingStreet,BillingStreet
address2_line2,Bill To Street 2,nvarchar,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address2_line3,Bill To Street 3,nvarchar,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address2_longitude,Bill To Longitude,float,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address2_name,Bill To Address Name,nvarchar,none,False,,,true,0,0,0,0,0,2,0,0,0,0,0,,,,Account,Bill To Address Name,Bill_To_Address_Name__c
address2_postalcode,Bill To ZIP/Postal Code,nvarchar,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,Account,BillingPostalCode,BillingPostalCode,,,
address2_postofficebox,Bill To Post Office Box,nvarchar,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address2_primarycontactname,Bill To Primary Contact Name,nvarchar,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address2_shippingmethodcode,Bill To Shipping Method,picklist,none,False,,1: Default Value,true,0,0,0,0,0,5,0,0,0,0,0,,,,Account,Bill To Shipping Method,Bill_To_Shipping_Method__c
address2_stateorprovince,Bill To State/Province,nvarchar,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,Account,BillingState,BillingState,,,
address2_telephone1,Bill To Telephone 1,nvarchar,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address2_telephone2,Bill To Telephone 2,nvarchar,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address2_telephone3,Bill To Telephone 3,nvarchar,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address2_upszone,Bill To UPS Zone,nvarchar,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
address2_utcoffset,Bill To UTC Offset,int,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
addresses,,,,False,,,true,2,0,0,0,0,0,0,0,0,0,0,,,,Account,Addresses,Addresses__c
adx_resolutiondate,,,,False,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Adx Resolutiondate,Adx_Resolutiondate__c
allocations,,,,False,,,true,2,0,0,0,0,0,0,0,0,0,0,,,,Account,Allocations,Allocations__c
amountdatatype,,,,False,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Amountdatatype,Amountdatatype__c
annotationid,,,,False,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Annotationid,Annotationid__c
azt_account,,,,True,,,true,0,0,0,0,0,0,0,1,0,1,0,,,,Account,Account_Alert__c,Account_Alert__c
azt_accountalert,Account Alert,nvarchar,none,True,,,true,2,0,0,0,0,0,0,0,0,0,0,Account,Account Alert,Account_Alert__c,Account,Account_Alert__c,Account_Alert__c
azt_accountid,,,,True,,,true,0,5,0,0,0,0,0,6,0,5,0,,,,Account,Account_18_Digits_ID__c,Account_18_Digits_ID__c
azt_accountleadgenerationid,,,,True,,,true,0,0,0,0,0,0,0,3,0,0,0,,,,Account,Accountleadgenerationid,Accountleadgenerationid__c
azt_accountleadgenname,Account Lead Gen Name,nvarchar,none,True,,,true,0,0,0,0,0,1,0,1,0,0,0,,,,Account,Account Lead Gen Name,Account_Lead_Gen_Name__c
azt_accountnumber,Account Number,nvarchar,none,True,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_accountspend,Lifetime Spend,money,none,True,,,true,1,0,0,0,0,0,1,0,0,0,0,,,,Account,Lifetime Spend,Lifetime_Spend__c
azt_accountspend_base,Account Spend (Base),money,none,True,,,false,0,0,0,0,0,0,0,0,0,0,0,Account,CRM Account Spend (Base),CRM_Account_Spend__c,,,
azt_accounttype,Account Type,picklist,none,True,,"276530000: Active Account, 276530001: Expired Account, 276530007: Prospect, 276530005: Trade Show, 276530003: Partner, 276530006: Vendor, 276530004: Pilot, 276530002: Other, 100000000: Active",true,5,11,0,0,0,0,0,1,0,0,0,Account,Account Status,Account_Status__c,Account,Account_Status__c,Account_Status__c
azt_addresssearch,Address Search,nvarchar,none,True,,,true,2,0,0,0,0,0,0,2,0,0,0,,,,Account,Address Search,Address_Search__c
azt_addresssearch2,Address Search 2,nvarchar,none,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Address Search 2,Address_Search_2__c
azt_aeflafunding,AEFLA Funding,bit,none,True,,"1: Yes, 0: No",true,2,0,0,0,0,0,0,0,0,0,0,,,,Account,Aefla Funding,Aefla_Funding__c
azt_ageendedstage,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Ageendedstage,Ageendedstage__c
azt_allocatedtoid,,,,True,,,true,0,0,0,0,0,0,0,2,0,1,0,,,,Account,Allocatedtoid,Allocatedtoid__c
azt_allocationtype,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Allocationtype,Allocationtype__c
azt_amount,,,,True,,,true,0,0,0,0,0,0,0,7,0,0,0,,,,Account,Amount,Amount__c
azt_annualspend,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,AnnualRevenue,AnnualRevenue
azt_approvalstatus,,,,True,,,true,0,0,0,0,0,0,0,3,0,0,0,,,,Account,Approvalstatus,Approvalstatus__c
azt_autonumberid,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,AccountNumber,AccountNumber
azt_bookingurl,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Bookingurl,Bookingurl__c
azt_caseid,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Caseid,Caseid__c
azt_commissionamount,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Commissionamount,Commissionamount__c
azt_commissionid,,,,True,,,true,0,0,0,0,0,0,0,4,0,0,0,,,,Account,Commissionid,Commissionid__c
azt_commissionpaymentid,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Commissionpaymentid,Commissionpaymentid__c
azt_companyname,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Companyname,Companyname__c
azt_compcompleted,,,,True,,,true,0,0,0,0,0,0,0,5,0,0,0,,,,Account,Compcompleted,Compcompleted__c
azt_compgoalid,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Compgoalid,Compgoalid__c
azt_compgoaltypeid,,,,True,,,true,0,0,0,0,0,0,0,3,0,0,0,,,,Account,Compgoaltypeid,Compgoaltypeid__c
azt_compplanamountid,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Compplanamountid,Compplanamountid__c
azt_concurrentusers,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Concurrentusers,Concurrentusers__c
azt_currentnumber,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,AccountNumber,AccountNumber
azt_customerid,,,,True,,,true,0,0,0,0,0,0,0,5,0,4,0,,,,Account,Customer_Number__c,Customer_Number__c
azt_customerintrocompletedby,Customer Intro Completed By,nvarchar,none,True,,,true,0,0,0,0,0,1,0,0,0,0,0,,,,Account,Customer Intro Completed By,Customer_Intro_Completed_By__c
azt_customerintrocompletedon,Customer Intro Completed On,nvarchar,none,True,,,true,0,0,0,0,0,1,0,0,0,0,0,,,,Account,Customer Intro Completed On,Customer_Intro_Completed_On__c
azt_customerintroductioncompleted,Customer Introduction Completed,bit,none,True,,"1: Yes, 0: No",true,0,1,0,0,0,1,0,0,0,0,0,,,,Account,Customer Introduction Completed,Customer_Introduction_Completed__c
azt_customernumber,Customer Number,nvarchar,recommended,True,,,true,4,5,0,0,0,0,0,0,0,0,0,Account,Customer Number,Customer_Number__c,Account,Customer_Number__c,Customer_Number__c
azt_customerof,Customer Of,picklist,none,True,,"276530000: Aztec, 276530001: Life Skills, 276530002: Aztec & Life Skills",true,2,0,0,0,0,0,0,0,0,0,0,,,,Account,Customer_Number__c,Customer_Number__c
azt_customertrainingid,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Customertrainingid,Customertrainingid__c
azt_dateexitedstage,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Dateexitedstage,Dateexitedstage__c
azt_defaultfreightamount,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Defaultfreightamount,Defaultfreightamount__c
azt_description,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Description,Description
azt_digitalstatus,Digital Status,picklist,none,True,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_discountamount,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Discountamount,Discountamount__c
azt_discretionarydiscount,,,,True,,,true,0,0,0,1,0,0,0,0,0,0,0,,,,Account,Discretionarydiscount,Discretionarydiscount__c
azt_discretionarydiscountamt,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Discretionarydiscountamt,Discretionarydiscountamt__c
azt_duplicate,Duplicate?,nvarchar,none,True,,,true,0,1,0,0,0,0,0,0,0,0,0,,,,Account,Duplicate,Duplicate__c
azt_effectivedate,,,,True,,,true,0,0,0,0,0,0,0,4,0,0,0,,,,Account,Effectivedate,Effectivedate__c
azt_email,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Email,Email__c
azt_enddate,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,CreatedDate,CreatedDate
azt_engagementid,,,,True,,,true,0,0,0,0,0,0,0,4,0,0,0,,,,Account,Engagementid,Engagementid__c
azt_estfulfillmentdate,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Estfulfillmentdate,Estfulfillmentdate__c
azt_evaluate,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Evaluate,Evaluate__c
azt_excludefromautoassign,Exclude from Autoassign?,bit,none,True,,"1: Yes, 0: No",true,2,0,0,0,0,3,0,0,0,0,0,,,,Account,Exclude From Autoassign,Exclude_From_Autoassign__c
azt_executivesummary,Executive Summary,ntext,none,True,,,true,2,0,0,0,0,2,0,0,0,0,0,Account,Executive Summary,Executive_Summary__c,Account,Executive_Summary__c,Executive_Summary__c
azt_expenseamount,,,,True,,,true,0,0,0,0,0,0,0,3,0,0,0,,,,Account,Expenseamount,Expenseamount__c
azt_expenseid,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Expenseid,Expenseid__c
azt_expensereportid,,,,True,,,true,0,0,0,0,0,0,0,5,0,0,0,,,,Account,Expensereportid,Expensereportid__c
azt_expensetype,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Expensetype,Expensetype__c
azt_expirationdate,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Expirationdate,Expirationdate__c
azt_extension,Ext,nvarchar,none,True,,,true,2,0,0,0,0,0,0,1,0,0,0,Account,Ext,Ext__c,Account,Ext,Ext__c
azt_fieldtoautonumber,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Fieldtoautonumber,Fieldtoautonumber__c
azt_firstname,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Firstname,Firstname__c
azt_fiscalperiodend,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Fiscal_Year_End__c,Fiscal_Year_End__c
azt_fiscalperiodstart,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Fiscalperiodstart,Fiscalperiodstart__c
azt_fiscalyearend,Fiscal Year End,picklist,none,True,,,true,1,0,0,0,0,0,0,0,0,0,0,Account,Fiscal Year End,Fiscal_Year_End__c,Account,Fiscal_Year_End__c,Fiscal_Year_End__c
azt_freightamtapproved,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Freightamtapproved,Freightamtapproved__c
azt_fsradminpassword,FSR Admin Password,nvarchar,none,True,,,false,0,0,0,0,0,0,0,0,0,0,0,Account,FSR Admin Password,FSR_Admin_Password__c,,,
azt_fsradminusername,FSR Admin Username,nvarchar,none,True,,,false,0,0,0,0,0,0,0,0,0,0,0,Account,FSR Admin Username,FSR_Admin_Username__c,,,
azt_fsrassignedon,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Fsrassignedon,Fsrassignedon__c
azt_fsremail,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Fsremail,Fsremail__c
azt_fsrid,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Fsrid,Fsrid__c
azt_fsrmobiletelephone,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Fsrmobiletelephone,Fsrmobiletelephone__c
azt_fsrtelephone,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Fsrtelephone,Fsrtelephone__c
azt_fsrtelephoneextension,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Fsrtelephoneextension,Fsrtelephoneextension__c
azt_fundingid,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Fundingid,Fundingid__c
azt_fundingyear,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Fundingyear,Fundingyear__c
azt_gedprintnoflashplay,GED Print NO Flash/Play,bit,none,True,,"1: Yes, 0: No",false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_gedprintnogedsoftware,GED Print - NO GED Software,bit,none,True,,"1: Yes, 0: No",false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_goaltype,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Type,Type
azt_historicalowner,Historical Owner,nvarchar,none,True,,,true,2,0,0,0,0,2,0,0,0,0,0,,,,Account,Historical Owner,Historical_Owner__c
azt_importname,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Importname,Importname__c
azt_invoiceid,,,,True,,,true,0,0,0,0,0,0,0,10,0,0,0,,,,Account,Invoiceid,Invoiceid__c
azt_invoiceproductid,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Invoiceproductid,Invoiceproductid__c
azt_isautoduplicate,Is Auto Duplicate?,bit,none,True,,"1: Yes, 0: No",false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_isbn,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Isbn,Isbn__c
azt_iscompanion,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,JigsawCompanyId,JigsawCompanyId
azt_isduplicate,Is Duplicate,bit,none,True,,"1: Yes, 0: No",true,0,1,0,0,0,0,0,0,0,0,0,,,,Account,Is Duplicate,Is_Duplicate__c
azt_isinquickbooks,Is In Quickbooks?,picklist,none,True,,"0: Yes, 1: No, 2: Possible",true,0,1,0,0,0,0,0,0,0,0,0,,,,Account,Is In Quickbooks,Is_In_Quickbooks__c
azt_ismatched,Is Matched?,bit,none,True,,"1: Yes, 0: No",false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_isprint,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Isprint,Isprint__c
azt_issaas,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Issaas,Issaas__c
azt_jobrole,,,,True,,,true,0,0,0,0,0,0,0,2,0,0,0,,,,Account,Jobrole,Jobrole__c
azt_jobtitle,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Jobtitle,Jobtitle__c
azt_lastactivitydate,Last Activity Date,datetime,none,True,,,true,0,2,0,0,0,0,0,1,0,0,0,,,,Account,LastActivityDate,LastActivityDate
azt_lastmodifiedbyid,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,LastModifiedById,LastModifiedById
azt_lastname,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Name,Name
azt_lastprintpurchase,Last Print Purchase,datetime,none,True,,,true,3,5,0,0,0,0,0,0,0,0,0,Account,CRM Last Print Purchase,CRM_Last_Print_Purchase__c,Account,Last_Print_Purchase__c,Last_Print_Purchase__c
azt_lastsaaspurchase,Last SaaS Purchase,datetime,none,True,,,true,3,5,0,0,0,0,0,0,0,0,0,Account,CRM Last SaaS Purchase,CRM_Last_SaaS_Purchase__c,Account,Last_SaaS_Purchase__c,Last_SaaS_Purchase__c
azt_lastsuccessfulconnection,Last Successful Connection,datetime,none,True,,,true,2,0,0,0,0,0,0,0,0,0,0,,,,Account,Last Successful Connection,Last_Successful_Connection__c
azt_lastyearspend,Last Year Spend,money,none,True,,,true,1,0,0,0,0,0,1,0,0,0,0,,,,Account,Last Year Spend,Last_Year_Spend__c
azt_lastyearspend_base,Last Year Spend (Base),money,none,True,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_leadimportid,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Leadimportid,Leadimportid__c
azt_leadsourceid,Lead Source,lookup,none,True,,,true,2,0,0,0,0,8,0,2,0,1,0,Account,Account Source,AccountSource,Account,Lead Source,Lead_Source__c
azt_licensestatus,,,,True,,,true,0,10,0,0,0,0,0,2,0,0,0,,,,Account,Licensestatus,Licensestatus__c
azt_licenseterm,,,,True,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,Account,Licenseterm,Licenseterm__c
