fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_bonuspoolamount,Bonus Pool Amount,money,none,True,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_bonuspoolamount_base,Bonus Pool Amount (Base),money,none,True,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_combinedsales,Combined Sales,money,none,True,2026-02-20 20:40:00,,true,1,0,0,0,0,0,1,0,0,0,0,,,,,,
azt_combinedsales_base,Combined Sales (Base),money,none,True,2026-02-20 20:40:00,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_commissionid,Commission,primarykey,systemrequired,False,2026-02-20 20:40:00,,true,0,8,0,0,0,2,0,4,0,2,0,,,,,,
azt_fiscalperiodend,Fiscal Period End,datetime,required,True,2026-02-20 20:40:00,,true,1,5,0,0,0,0,0,2,0,0,0,,,,,,
azt_fiscalperiodstart,Fiscal Period Start,datetime,required,True,2026-02-20 20:40:00,,true,1,8,0,0,0,0,0,2,0,0,0,,,,,,
azt_name,Name,nvarchar,required,True,2026-02-20 20:40:00,,true,3,5,0,0,0,9,0,18,0,0,0,,,,,,
azt_nonsaassales,Non-SaaS Sales,money,none,True,2026-02-20 20:40:00,,true,1,0,0,0,0,0,1,0,0,0,0,,,,,,
azt_nonsaassales_base,Non-SaaS Sales (Base),money,none,True,2026-02-20 20:40:00,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_saassales,SaaS Sales Q1,money,none,True,2026-02-20 20:40:00,,true,1,0,0,0,0,0,1,0,0,0,0,,,,,,
azt_saassales_base,SaaS Sales (Base),money,none,True,2026-02-20 20:40:00,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_ytdcommissionamt,YTD Commission Amt,money,none,True,2026-02-20 20:40:00,,true,1,3,0,0,0,0,1,0,0,0,0,,,,,,
azt_ytdcommissionamt_base,YTD Commission Amt (Base),money,none,True,2026-02-20 20:40:00,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
createdby,Created By,lookup,none,False,2026-02-20 20:40:00,,true,0,0,0,0,0,25,0,0,0,1,0,,,,,,
createdon,Created On,datetime,none,False,Skipped (createdon),,true,1,2,0,0,0,7,0,10,0,0,0,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,2021-06-08 01:02:08,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
exchangerate,Exchange Rate,decimal,none,False,2026-02-20 20:40:00,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
modifiedby,Modified By,lookup,none,False,2026-02-20 20:40:00,,true,0,0,0,0,0,2,0,0,0,1,0,,,,,,
modifiedon,Modified On,datetime,none,False,Skipped (modifiedon),,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ownerid,Sales Rep,owner,systemrequired,False,2026-02-20 20:40:00,,true,4,12,0,0,0,24,0,22,0,1,0,,,,,,
owningbusinessunit,Owning Business Unit,lookup,none,False,2026-02-20 20:40:00,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
owningteam,Owning Team,lookup,none,False,Never,,true,0,0,0,0,0,1,0,1,0,1,0,,,,,,
owninguser,Owning User,lookup,none,False,2026-02-20 20:40:00,,true,0,0,0,0,0,0,0,1,0,1,0,,,,,,
statecode,Status,state,systemrequired,False,2026-02-20 20:40:00,,true,0,6,0,0,0,10,0,20,0,0,0,,,,,,
statuscode,Status Reason,status,none,False,2026-02-20 20:40:00,,true,1,0,0,0,0,5,0,6,0,0,0,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,2026-02-20 20:40:00,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
transactioncurrencyid,Currency,lookup,none,False,2026-02-20 20:40:00,,true,1,0,0,0,0,20,0,8,0,1,0,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
