fieldName,displayName,dataType,requiredLevel,isCustom,picklistValues,mappingSuggested,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_commissionamount,Commission Amount,money,recommended,True,,,,,,,,
azt_commissionamount_base,Commission Amount (Base),money,none,True,,,,,,,,
azt_commissionid,Commission,lookup,none,True,,,,,,,,
azt_commissionpaymentid,Commission Payment,primarykey,systemrequired,False,,,,,,,,
azt_compgoalid,Comp Goal,lookup,none,True,,,,,,,,
azt_invoiceid,Invoice,lookup,none,True,,,,,,,,
azt_name,Name,nvarchar,required,True,,,,,,,,
azt_periodend,Period End,datetime,required,True,,,,,,,,
azt_periodstart,Period Start,datetime,required,True,,,,,,,,
createdby,Created By,lookup,none,False,,,,,,,,
createdon,Created On,datetime,none,False,,,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,,,,,,,,
exchangerate,Exchange Rate,decimal,none,False,,,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,,,,,,,,
modifiedby,Modified By,lookup,none,False,,,,,,,,
modifiedon,Modified On,datetime,none,False,,,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,,,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,,,,,,,,
ownerid,Owner,owner,systemrequired,False,,,,,,,,
owningbusinessunit,Owning Business Unit,lookup,none,False,,,,,,,,
owningteam,Owning Team,lookup,none,False,,,,,,,,
owninguser,Owning User,lookup,none,False,,,,,,,,
statecode,Status,state,systemrequired,False,,,,,,,,
statuscode,Status Reason,status,none,False,,,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,,,,,,,,
transactioncurrencyid,Currency,lookup,none,False,,,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,,,,,,,,
