fieldName,displayName,dataType,requiredLevel,isCustom,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_amount,Amount,money,none,True,,,2,5,0,0,0,2,0,7,0,0,0,,,,,,
azt_amount_base,Amount (Base),money,none,True,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_applybonus,Apply Bonus?,bit,none,True,"1: Yes, 0: No",,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_commissionid,Commission,lookup,none,True,,,1,0,0,0,0,3,0,4,0,1,0,,,,,,
azt_compgoaltypeid,Comp Goal Type,primarykey,systemrequired,False,,,0,8,0,0,0,1,0,3,0,0,0,,,,,,
azt_details,Details,ntext,none,True,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_donotaddtogoal,Do Not Add to Goal,bit,none,True,"1: Yes, 0: No",,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_effectivedate,Effective Date,datetime,none,True,,,2,8,0,0,0,2,0,4,0,0,0,,,,,,
azt_invoiceid,Invoice,lookup,none,True,,,1,4,0,0,0,3,0,10,0,1,0,,,,,,
azt_name,Name,nvarchar,required,True,,,3,5,0,0,0,10,0,18,0,0,0,,,,,,
azt_opportunityid,Opportunity,lookup,none,True,,,1,0,0,0,0,0,0,7,0,1,0,,,,,,
azt_orderid,Order,lookup,none,True,,,1,3,0,0,0,3,0,8,0,1,0,,,,,,
azt_percentage,Percentage,decimal,none,True,,,2,5,0,0,0,2,0,4,0,0,0,,,,,,
azt_producttype,Product Type,picklist,none,True,"327630000: Initial, 327630002: Add-On, 327630003: Win-Back, 327630004: Renewals, 327630001: Print +, 327630005: iGrad Non-SaaS",,2,11,0,0,0,0,0,6,0,0,0,,,,,,
azt_salesrepid,Sales Rep,lookup,required,True,,,2,8,0,0,0,2,0,6,0,1,0,,,,,,
azt_total,Total,money,none,True,,,2,5,0,0,0,2,0,3,0,0,0,,,,,,
azt_total_base,Total (Base),money,none,True,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
createdby,Created By,lookup,none,False,,,0,0,0,0,0,25,0,0,0,1,0,,,,,,
createdon,Created On,datetime,none,False,,,1,1,0,0,0,7,0,10,0,0,0,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
exchangerate,Exchange Rate,decimal,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
modifiedby,Modified By,lookup,none,False,,,0,0,0,0,0,2,0,0,0,1,0,,,,,,
modifiedon,Modified On,datetime,none,False,,,0,0,0,0,0,0,0,4,0,0,0,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ownerid,Owner,owner,systemrequired,False,,,3,1,0,0,0,24,0,22,0,1,0,,,,,,
owningbusinessunit,Owning Business Unit,lookup,none,False,,,0,0,0,0,0,0,0,0,0,1,0,,,,,,
owningteam,Owning Team,lookup,none,False,,,0,0,0,0,0,1,0,1,0,1,0,,,,,,
owninguser,Owning User,lookup,none,False,,,0,0,0,0,0,0,0,1,0,1,0,,,,,,
statecode,Status,state,systemrequired,False,,,0,6,0,0,0,10,0,20,0,0,0,,,,,,
statuscode,Status Reason,status,none,False,,,2,3,0,0,0,5,0,6,0,0,0,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
transactioncurrencyid,Currency,lookup,none,False,,,0,0,0,0,0,20,0,8,0,1,0,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
