fieldName,displayName,dataType,requiredLevel,isCustom,picklistValues,mappingSuggested,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_customerid,Customer,lookup,none,True,,,,,,,,
azt_description,Description,ntext,none,True,,,,,,,,
azt_expenseamount,Expense Amount,money,none,True,,,,,,,,
azt_expenseamount_base,Expense Amount (Base),money,none,True,,,,,,,,
azt_expensedate,Expense Date,datetime,none,True,,,,,,,,
azt_expenseid,Expense,primarykey,systemrequired,False,,,,,,,,
azt_expensereportid,Expense Report,lookup,required,True,,,,,,,,
azt_expensetype,Expense Type,picklist,required,True,"276530015: Tips, 276530000: Airfare, 276530001: Conference Fee, 276530002: Customer Entertainment, 276530003: Ground Transportation (Gas), 276530004: Ground Transportation (Parking), 276530005: Ground Transportation (Rental Car), 276530006: Ground Transportation (Taxi/Uber), 276530007: Lodging, 276530008: Meals, 276530009: Miles, 276530010: Office Supplies, 276530012: Phone / Internet, 276530013: Service, 276530014: Shipping, 276530011: Other",,,,,,,
azt_mileage,Mileage,int,none,True,,,,,,,,
azt_name,Name,nvarchar,required,True,,,,,,,,
azt_reasonforexpense,Reason for Expense,picklist,required,True,"276530000: Aztec Internal, 276530001: Business Development, 276530002: Customer Support, 276530003: Employee Training, 276530004: Sales - Add On, 276530005: Sales - Initial, 276530006: Sales - Renewal, 276530007: Technical Support, 276530008: Trade Show, 276530009: Training",,,,,,,
createdby,Created By,lookup,none,False,,,,,,,,
createdon,Created On,datetime,none,False,,,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,,,,,,,,
exchangerate,Exchange Rate,decimal,none,False,,,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,,,,,,,,
modifiedby,Modified By,lookup,none,False,,,,,,,,
modifiedon,Modified On,datetime,none,False,,,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,,,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,,,,,,,,
ownerid,Owner,owner,systemrequired,False,,,,,,,,
owningbusinessunit,Owning Business Unit,lookup,none,False,,,,,,,,
owningteam,Owning Team,lookup,none,False,,,,,,,,
owninguser,Owning User,lookup,none,False,,,,,,,,
statecode,Status,state,systemrequired,False,,,,,,,,
statuscode,Status Reason,status,none,False,,,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,,,,,,,,
transactioncurrencyid,Currency,lookup,none,False,,,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,,,,,,,,
