fieldName,displayName,dataType,requiredLevel,isCustom,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_approvingcorporatemanagerid,Approving Corporate Manager,lookup,none,True,,,1,0,0,0,0,0,0,0,0,1,0,,,,,,
azt_approvingmanagerid,Approving Manager,lookup,none,True,,,1,0,0,0,0,0,0,0,0,1,0,,,,,,
azt_corporateapproved,Corporate Approved?,bit,none,True,"1: Approved, 0: Not Approved",,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_datecorporateapproved,Date Corporate Approved,datetime,none,True,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_datemanagerapproved,Date Manager Approved,datetime,none,True,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_datepaid,Date Paid,datetime,none,True,,,1,1,0,0,0,0,0,0,0,0,0,,,,,,
azt_datesubmitted,Date Submitted,datetime,none,True,,,1,17,0,0,0,0,0,0,0,0,0,,,,,,
azt_enddate,End Date,datetime,none,True,,,1,11,0,0,0,0,0,1,0,0,0,,,,,,
azt_expenseid,Expense ID,nvarchar,none,True,,,1,12,0,0,0,0,0,1,0,0,0,,,,,,
azt_expensereportid,Expense Report,primarykey,systemrequired,False,,,0,15,0,0,0,2,0,5,0,1,0,,,,,,
azt_ispaid,Is Paid?,bit,none,True,"1: Yes, 0: No",,1,2,0,0,0,0,0,0,0,0,0,,,,,,
azt_managerapproved,Manager Approved?,bit,none,True,"1: Yes, 0: No",,1,2,0,0,0,0,0,0,0,0,0,,,,,,
azt_name,Name,nvarchar,required,True,,,3,20,0,0,0,9,0,18,0,0,0,,,,,,
azt_paidbyid,Paid By,lookup,none,True,,,1,0,0,0,0,0,0,0,0,1,0,,,,,,
azt_reject,Reject,bit,none,True,"1: Yes, 0: No",,1,0,0,0,0,2,0,0,0,0,0,,,,,,
azt_startdate,Start Date,datetime,none,True,,,1,11,0,0,0,2,0,2,0,0,0,,,,,,
azt_submitted,Submitted?,bit,none,True,"1: Yes, 0: No",,1,11,0,0,0,1,0,0,0,0,0,,,,,,
azt_submittedbyid,Submitted By,lookup,none,True,,,1,17,0,0,0,1,0,0,0,1,0,,,,,,
azt_totalreimbursement,Total Reimbursement,money,none,True,,,2,14,0,0,0,0,0,1,0,0,0,,,,,,
azt_totalreimbursement_base,Total Reimbursement (Base),money,none,True,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
createdby,Created By,lookup,none,False,,,1,0,0,0,0,25,0,0,0,1,0,,,,,,
createdon,Created On,datetime,none,False,,,1,19,0,0,0,7,0,10,0,0,0,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
exchangerate,Exchange Rate,decimal,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
modifiedby,Modified By,lookup,none,False,,,0,0,0,0,0,2,0,0,0,1,0,,,,,,
modifiedon,Modified On,datetime,none,False,,,0,0,0,0,0,0,0,4,0,0,0,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ownerid,Owner,owner,systemrequired,False,,,4,4,0,0,0,24,0,22,0,1,0,,,,,,
owningbusinessunit,Owning Business Unit,lookup,none,False,,,0,0,0,0,0,0,0,0,0,1,0,,,,,,
owningteam,Owning Team,lookup,none,False,,,0,0,0,0,0,1,0,1,0,1,0,,,,,,
owninguser,Owning User,lookup,none,False,,,0,0,0,0,0,0,0,1,0,1,0,,,,,,
processid,Process Id,uniqueidentifier,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
stageid,(Deprecated) Stage Id,uniqueidentifier,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
statecode,Status,state,systemrequired,False,,,0,12,0,0,0,10,0,20,0,0,0,,,,,,
statuscode,Expense Status,status,none,False,,,2,22,0,0,0,5,0,6,0,0,0,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
transactioncurrencyid,Currency,lookup,none,False,,,1,0,0,0,0,20,0,8,0,1,0,,,,,,
traversedpath,(Deprecated) Traversed Path,nvarchar,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
