fieldName,displayName,dataType,requiredLevel,isCustom,picklistValues,mappingSuggested,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_account,Account,lookup,none,True,,,,,,,,
azt_annualspend,Annual Spend,money,none,True,,,,,,,,
azt_annualspend_base,Annual Spend (Base),money,none,True,,,,,,,,
azt_federalfundingamount,Federal Funding Amount,money,none,True,,,,,,,,
azt_federalfundingamount_base,Federal Funding Amount (Base),money,none,True,,,,,,,,
azt_fundingdate,Funding Date,datetime,none,True,,,,,,,,
azt_fundingid,Funding,primarykey,systemrequired,False,,,,,,,,
azt_fundingyear,Year,int,required,True,,,,,,,,
azt_name,Name,nvarchar,recommended,True,,,,,,,,
azt_otherfundingamount,Other Funding Amount,money,none,True,,,,,,,,
azt_otherfundingamount_base,Other Funding Amount (Base),money,none,True,,,,,,,,
azt_penetration,Penetration %,decimal,none,True,,,,,,,,
azt_statefundingamount,State Funding Amount,money,none,True,,,,,,,,
azt_statefundingamount_base,State Funding Amount (Base),money,none,True,,,,,,,,
azt_totalfunding,Total Funding,money,none,True,,,,,,,,
azt_totalfunding_base,Total Funding (Base),money,none,True,,,,,,,,
azt_year,Funding Year,nvarchar,none,True,,,,,,,,
createdby,Created By,lookup,none,False,,,,,,,,
createdon,Created On,datetime,none,False,,,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,,,,,,,,
exchangerate,Exchange Rate,decimal,none,False,,,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,,,,,,,,
modifiedby,Modified By,lookup,none,False,,,,,,,,
modifiedon,Modified On,datetime,none,False,,,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,,,,,,,,
organizationid,Organization Id,lookup,none,False,,,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,,,,,,,,
statecode,Status,state,systemrequired,False,,,,,,,,
statuscode,Status Reason,status,none,False,,,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,,,,,,,,
transactioncurrencyid,Currency,lookup,none,False,,,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,,,,,,,,
