fieldName,displayName,dataType,requiredLevel,isCustom,picklistValues,mappingSuggested,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_attended,Attended?,bit,none,True,"1: Yes, 0: No",,,,,,,
azt_companyname,Company Name,nvarchar,none,True,,,,,,,,
azt_email,Email,nvarchar,none,True,,,,,,,,
azt_firstname,First Name,nvarchar,none,True,,,,,,,,
azt_importname,Import Name,nvarchar,none,True,,,,,,,,
azt_interestrating,Interest Rating,int,none,True,,,,,,,,
azt_jobtitle,Job Title,nvarchar,none,True,,,,,,,,
azt_lastname,Last Name,nvarchar,none,True,,,,,,,,
azt_leadimportid,Lead Import,primarykey,systemrequired,False,,,,,,,,
azt_leadsourceid,Lead Source,lookup,none,True,,,,,,,,
azt_name,Name,nvarchar,required,True,,,,,,,,
azt_phone,Phone,nvarchar,none,True,,,,,,,,
azt_result,Result,picklist,none,True,"327630000: Contact Email, 327630003: Multiple Contacts Found, 327630004: Multiple Accounts Found, 327630001: Account Name, 327630002: New Lead",,,,,,,
azt_stateprovince,State/Province,nvarchar,none,True,,,,,,,,
azt_timeinsession,Time In Session,nvarchar,none,True,,,,,,,,
azt_unsubscribe,Unsubscribe?,bit,none,True,"1: Yes, 0: No",,,,,,,
createdby,Created By,lookup,none,False,,,,,,,,
createdon,Created On,datetime,none,False,,,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,,,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,,,,,,,,
modifiedby,Modified By,lookup,none,False,,,,,,,,
modifiedon,Modified On,datetime,none,False,,,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,,,,,,,,
organizationid,Organization Id,lookup,none,False,,,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,,,,,,,,
statecode,Status,state,systemrequired,False,,,,,,,,
statuscode,Status Reason,status,none,False,,,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,,,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,,,,,,,,
