fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_audittype,Audit Type,picklist,none,True,2024-08-19 14:42:26,"327630000: Probability Change, 327630001: Est Close Change, 327630002: Est Value Change",false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_name,Name,nvarchar,required,True,2026-03-21 01:26:58,,true,3,10,0,0,0,9,0,18,0,0,0,,,,,,
azt_newestclosedate,New Est Close Date,datetime,none,True,2026-03-21 01:26:58,,true,1,1,0,0,0,0,0,1,0,0,0,,,,,,
azt_newestimatedvalue,New Estimated Value,money,none,True,2026-03-21 00:54:35,,true,1,1,0,0,0,0,0,1,0,0,0,,,,,,
azt_newestimatedvalue_base,New Estimated Value (Base),money,none,True,2026-03-21 00:54:35,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_newprobability,New Probability,nvarchar,none,True,2026-03-20 17:38:26,,true,1,1,0,0,0,0,0,1,0,0,0,,,,,,
azt_opportunityauditrecordid,Opportunity Audit Record,primarykey,systemrequired,False,2026-03-21 01:26:58,,true,0,7,0,0,0,0,0,1,0,0,0,,,,,,
azt_opportunityid,Opportunity,lookup,none,True,2026-03-21 01:26:58,,true,1,0,0,0,0,0,0,7,0,1,0,,,,,,
azt_previousestclosedate,Previous Est Close Date,datetime,none,True,2026-03-21 01:26:58,,true,1,1,0,0,0,0,0,1,0,0,0,,,,,,
azt_previousestimatedvalue,Previous Estimated Value,money,none,True,2026-03-21 00:54:35,,true,1,1,0,0,0,0,0,1,0,0,0,,,,,,
azt_previousestimatedvalue_base,Previous Estimated Value (Base),money,none,True,2026-03-21 00:54:35,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_previousprobability,Previous Probability,nvarchar,none,True,2026-03-20 17:38:26,,true,1,1,0,0,0,0,0,1,0,0,0,,,,,,
createdby,Created By,lookup,none,False,2026-03-21 01:26:58,,true,0,0,0,0,0,25,0,0,0,1,0,,,,,,
createdon,Changed On,datetime,none,False,Skipped (createdon),,true,2,7,0,0,0,7,0,10,0,0,0,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,2026-03-21 01:26:58,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
exchangerate,Exchange Rate,decimal,none,False,2026-03-21 00:54:35,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
modifiedby,Modified By,lookup,none,False,2026-03-21 01:26:58,,true,0,0,0,0,0,2,0,0,0,1,0,,,,,,
modifiedon,Modified On,datetime,none,False,Skipped (modifiedon),,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,2026-03-21 01:26:58,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ownerid,Changed By,owner,systemrequired,False,2026-03-21 01:26:58,,true,3,2,0,0,0,24,0,22,0,1,0,,,,,,
owningbusinessunit,Owning Business Unit,lookup,none,False,2026-03-21 01:26:58,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
owningteam,Owning Team,lookup,none,False,2026-03-21 00:42:39,,true,0,0,0,0,0,1,0,1,0,1,0,,,,,,
owninguser,Owning User,lookup,none,False,2026-03-21 01:26:58,,true,0,0,0,0,0,0,0,1,0,1,0,,,,,,
statecode,Status,state,systemrequired,False,2026-03-21 01:26:58,,true,0,6,0,0,0,10,0,20,0,0,0,,,,,,
statuscode,Status Reason,status,none,False,2026-03-21 01:26:58,,true,1,0,0,0,0,5,0,6,0,0,0,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,2026-03-21 01:26:58,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
transactioncurrencyid,Currency,lookup,none,False,2026-03-21 00:54:35,,true,0,0,0,0,0,20,0,8,0,1,0,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
