fieldName,displayName,dataType,requiredLevel,isCustom,picklistValues,mappingSuggested,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_activestageid,Active Stage,lookup,required,True,,,,,,,,
azt_ageendedstage,Age Ended Stage,int,none,True,,,,,,,,
azt_changinguserid,Changing User,lookup,none,True,,,,,,,,
azt_dateexitedstage,Date Exited Stage,datetime,none,True,,,,,,,,
azt_name,Name,nvarchar,required,True,,,,,,,,
azt_orderid,Order,lookup,required,True,,,,,,,,
azt_orderstageid,Order Stage,primarykey,systemrequired,False,,,,,,,,
createdby,Created By,lookup,none,False,,,,,,,,
createdon,Date Entered Stage,datetime,none,False,,,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,,,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,,,,,,,,
modifiedby,Modified By,lookup,none,False,,,,,,,,
modifiedon,Modified On,datetime,none,False,,,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,,,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,,,,,,,,
ownerid,Owner,owner,systemrequired,False,,,,,,,,
owningbusinessunit,Owning Business Unit,lookup,none,False,,,,,,,,
owningteam,Owning Team,lookup,none,False,,,,,,,,
owninguser,Owning User,lookup,none,False,,,,,,,,
statecode,Status,state,systemrequired,False,,,,,,,,
statuscode,Status Reason,status,none,False,,,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,,,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,,,,,,,,
