fieldName,displayName,dataType,requiredLevel,isCustom,picklistValues,mappingSuggested,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_amount,Amount,money,none,True,,,,,,,,
azt_amount_base,Amount (Base),money,none,True,,,,,,,,
azt_duedate,Due Date,datetime,none,True,,,,,,,,
azt_invoice,Intacct Invoice #,nvarchar,none,True,,,,,,,,
azt_invoiceid,Invoice,lookup,required,True,,,,,,,,
azt_invoicenumber,Invoice Number,nvarchar,none,True,,,,,,,,
azt_name,Name,nvarchar,required,True,,,,,,,,
azt_paymentdate,Payment Date,datetime,none,True,,,,,,,,
azt_paymentid,Payment,primarykey,systemrequired,False,,,,,,,,
azt_ponumber,PO Number,nvarchar,none,True,,,,,,,,
createdby,Created By,lookup,none,False,,,,,,,,
createdon,Created On,datetime,none,False,,,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,,,,,,,,
exchangerate,Exchange Rate,decimal,none,False,,,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,,,,,,,,
modifiedby,Modified By,lookup,none,False,,,,,,,,
modifiedon,Modified On,datetime,none,False,,,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,,,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,,,,,,,,
ownerid,Owner,owner,systemrequired,False,,,,,,,,
owningbusinessunit,Owning Business Unit,lookup,none,False,,,,,,,,
owningteam,Owning Team,lookup,none,False,,,,,,,,
owninguser,Owning User,lookup,none,False,,,,,,,,
statecode,Status,state,systemrequired,False,,,,,,,,
statuscode,Status Reason,status,none,False,,,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,,,,,,,,
transactioncurrencyid,Currency,lookup,none,False,,,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,,,,,,,,
