fieldName,displayName,dataType,requiredLevel,isCustom,picklistValues,mappingSuggested,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_accountid,Account,lookup,none,True,,,,,,,,
azt_description,Description,ntext,none,True,,,,,,,,
azt_extendedexpirationdate,Extended Expiration Date,datetime,none,True,,,,,,,,
azt_name,Name,nvarchar,required,True,,,,,,,,
azt_previewexpirationdate,Preview Expiration Date,datetime,none,True,,,,,,,,
azt_previewid,Preview,primarykey,systemrequired,False,,,,,,,,
azt_previewstartdate,Preview Start Date,datetime,none,True,,,,,,,,
azt_previewuserid,Preview User,lookup,none,True,,,,,,,,
azt_primarysalesrepid,Primary Sales Rep,lookup,none,True,,,,,,,,
createdby,Created By,lookup,none,False,,,,,,,,
createdon,Created On,datetime,none,False,,,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,,,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,,,,,,,,
modifiedby,Modified By,lookup,none,False,,,,,,,,
modifiedon,Modified On,datetime,none,False,,,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,,,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,,,,,,,,
ownerid,Owner,owner,systemrequired,False,,,,,,,,
owningbusinessunit,Owning Business Unit,lookup,none,False,,,,,,,,
owningteam,Owning Team,lookup,none,False,,,,,,,,
owninguser,Owning User,lookup,none,False,,,,,,,,
statecode,Status,state,systemrequired,False,,,,,,,,
statuscode,Status Reason,status,none,False,,,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,,,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,,,,,,,,
