fieldName,displayName,dataType,requiredLevel,isCustom,picklistValues,mappingSuggested,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_customerid,Customer,lookup,none,True,,,,,,,,
azt_isbn,ISBN,nvarchar,none,True,,,,,,,,
azt_name,Name,nvarchar,required,True,,,,,,,,
azt_printproductid,Print Product,lookup,none,True,,,,,,,,
azt_printpurchaseid,Print Purchase,primarykey,systemrequired,False,,,,,,,,
azt_purchasedate,Purchase Date,datetime,none,True,,,,,,,,
azt_quantity,Quantity,int,required,True,,,,,,,,
azt_recordownerid,Record Owner,lookup,none,True,,,,,,,,
azt_writeinproduct,Write-In Product,nvarchar,none,True,,,,,,,,
createdby,Created By,lookup,none,False,,,,,,,,
createdon,Created On,datetime,none,False,,,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,,,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,,,,,,,,
modifiedby,Modified By,lookup,none,False,,,,,,,,
modifiedon,Modified On,datetime,none,False,,,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,,,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,,,,,,,,
ownerid,Owner,owner,systemrequired,False,,,,,,,,
owningbusinessunit,Owning Business Unit,lookup,none,False,,,,,,,,
owningteam,Owning Team,lookup,none,False,,,,,,,,
owninguser,Owning User,lookup,none,False,,,,,,,,
statecode,Status,state,systemrequired,False,,,,,,,,
statuscode,Status Reason,status,none,False,,,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,,,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,,,,,,,,
