fieldName,displayName,dataType,requiredLevel,isCustom,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_approvalstatus,Approval Status,picklist,none,True,"276530000: Pending Approval, 276530001: Approved, 276530002: Rejected",,1,3,0,0,0,0,0,3,0,0,0,,,,,,
azt_customerid,Customer,lookup,none,True,,,1,0,0,0,0,1,0,5,0,1,0,,,,,,
azt_discountamount,Discount Amt,money,required,True,,,2,8,0,0,0,0,0,1,0,0,0,,,,,,
azt_discountamount_base,Discount Amount (Base),money,none,True,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_invoiceproductid,Invoice Product,lookup,required,True,,,1,9,0,0,0,0,0,2,0,1,0,,,,,,
azt_name,Name,nvarchar,required,True,,,3,16,0,0,0,9,0,18,0,0,0,,,,,,
azt_opportunityid,Opportunity,lookup,none,True,,,2,1,0,0,0,0,0,7,0,1,0,,,,,,
azt_opportunityproductid,Opportunity Product,lookup,required,True,,,1,8,0,0,0,0,0,10,0,1,0,,,,,,
azt_orderproductid,Order Product,lookup,required,True,,,1,8,0,0,0,0,0,3,0,1,0,,,,,,
azt_productdiscountid,Product Discount,primarykey,systemrequired,False,,,0,9,0,0,0,0,0,11,0,0,0,,,,,,
azt_quoteproductid,Quote Product,lookup,required,True,,,1,8,0,0,0,0,0,9,0,1,0,,,,,,
createdby,Created By,lookup,none,False,,,0,0,0,0,0,25,0,0,0,1,0,,,,,,
createdon,Created On,datetime,none,False,,,1,8,0,0,0,7,0,10,0,0,0,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
exchangerate,Exchange Rate,decimal,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
modifiedby,Modified By,lookup,none,False,,,0,0,0,0,0,2,0,0,0,1,0,,,,,,
modifiedon,Modified On,datetime,none,False,,,0,0,0,0,0,0,0,4,0,0,0,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ownerid,Owner,owner,systemrequired,False,,,4,2,0,0,0,24,0,22,0,1,0,,,,,,
owningbusinessunit,Owning Business Unit,lookup,none,False,,,0,0,0,0,0,0,0,0,0,1,0,,,,,,
owningteam,Owning Team,lookup,none,False,,,0,0,0,0,0,1,0,1,0,1,0,,,,,,
owninguser,Owning User,lookup,none,False,,,0,0,0,0,0,0,0,1,0,1,0,,,,,,
statecode,Status,state,systemrequired,False,,,0,6,0,0,0,10,0,20,0,0,0,,,,,,
statuscode,Status Reason,status,none,False,,,1,0,0,0,0,5,0,6,0,0,0,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
transactioncurrencyid,Currency,lookup,none,False,,,0,0,0,0,0,20,0,8,0,1,0,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
