fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
accountid,,,,False,,,false,0,0,0,0,0,0,0,12,0,0,0,,,,,,
activityid,,,,False,,,false,0,0,0,0,0,0,0,7,0,0,0,,,,,,
activitytypecode,,,,False,,,false,0,0,0,0,0,0,0,2,0,0,0,,,,,,
actualclosedate,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
address1_stateorprovince,,,,False,,,false,0,0,0,0,0,0,0,4,0,0,0,,,,,,
address1_telephone1,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
adx_resolutiondate,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
amountdatatype,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
annotationid,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_account,,,,True,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_accountid,Customer,lookup,required,True,,,true,2,17,0,0,0,11,0,6,0,1,0,Assets,Account,AccountId,Assets,Customer,Customer__c
azt_accountleadgenerationid,,,,True,,,false,0,0,0,0,0,0,0,3,0,0,0,,,,,,
azt_accounttype,,,,True,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_addresssearch,,,,True,,,false,0,0,0,0,0,0,0,2,0,0,0,,,,,,
azt_addresssearch2,,,,True,,,false,0,0,0,0,0,0,0,2,0,0,0,,,,,,
azt_ageendedstage,,,,True,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_allocatedtoid,,,,True,,,false,0,0,0,0,0,0,0,2,0,0,0,,,,,,
azt_allocationtype,,,,True,,,false,0,0,0,0,0,0,0,2,0,0,0,,,,,,
azt_amount,,,,True,,,false,0,0,0,0,0,0,0,7,0,0,0,,,,,,
azt_annualspend,,,,True,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_approvalstatus,,,,True,,,false,0,0,0,0,0,0,0,3,0,0,0,,,,,,
azt_autonumberid,,,,True,,,false,0,0,0,0,0,0,0,2,0,0,0,,,,,,
azt_azteccompanionserial,Aztec Companion Serial,nvarchar,none,True,,,true,1,3,0,0,0,2,0,0,0,0,0,,,,Assets,Aztec Companion Serial,Aztec_Companion_Serial__c
