fieldName,displayName,dataType,requiredLevel,isCustom,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_age,Age,int,none,True,,,0,1,0,0,0,0,0,0,0,0,0,,,,,,
azt_city,City,nvarchar,none,True,,,0,1,0,0,0,0,0,0,0,0,0,,,,,,
azt_email,Email,nvarchar,none,True,,,0,1,0,0,0,0,0,2,0,0,0,,,,,,
azt_firstname,First Name,nvarchar,none,True,,,0,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_lastname,Last Name,nvarchar,none,True,,,0,1,0,0,0,0,0,1,0,0,0,,,,,,
azt_lessonid,Lesson,lookup,none,True,,,0,1,0,0,0,0,0,0,0,1,0,,,,,,
azt_lessonnumberid,Lesson Number ID,int,none,True,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_name,Name,nvarchar,required,True,,,3,10,0,0,0,9,0,18,0,0,0,,,,,,
azt_studentid,Student,primarykey,systemrequired,False,,,0,7,0,0,0,0,0,0,0,0,0,,,,,,
azt_studentnumberid,Student Number ID,int,none,True,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
createdby,Created By,lookup,none,False,,,0,0,0,0,0,25,0,0,0,1,0,,,,,,
createdon,Created On,datetime,none,False,,,1,5,0,0,0,7,0,10,0,0,0,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
modifiedby,Modified By,lookup,none,False,,,0,0,0,0,0,2,0,0,0,1,0,,,,,,
modifiedon,Modified On,datetime,none,False,,,0,0,0,0,0,0,0,4,0,0,0,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
organizationid,Organization Id,lookup,none,False,,,0,0,0,0,0,0,0,0,0,1,0,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
statecode,Status,state,systemrequired,False,,,0,6,0,0,0,10,0,20,0,0,0,,,,,,
statuscode,Status Reason,status,none,False,,,1,0,0,0,0,5,0,6,0,0,0,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
