fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_accountid,Account,lookup,none,True,2021-06-08 19:13:09,,true,1,3,0,0,0,10,0,6,0,1,0,,,,,,
azt_name,Name,nvarchar,required,True,2021-06-08 19:13:09,,true,3,12,0,0,0,9,0,18,0,0,0,,,,,,
azt_paid,Paid?,bit,none,True,2021-06-08 19:13:09,"1: Paid, 0: Unpaid",true,1,2,0,0,0,0,0,1,0,0,0,,,,,,
azt_servicetype,Training Type,picklist,none,True,2021-06-08 19:13:09,"276530000: Open Webinar, 276530001: Customer Webinar, 276530002: Onsite, 276530003: Trade Show",true,1,3,0,0,0,0,0,0,0,0,0,,,,,,
azt_trainerid,Trainer,lookup,none,True,2021-06-08 19:13:09,,true,2,3,0,0,0,0,0,0,0,1,0,,,,,,
azt_trainingcourse,Training Course,picklist,none,True,2020-12-17 02:16:40,"276530000: Open - Web Training Tour - Plus, 276530001: Open - Web Training - Advanced Admin, 276530002: Open - Web Training - Basic Admin, 276530003: Client - Web Training, 276530004: FSR - Onsite Training, 276530005: FSR - Web Training, 276530006: Onsite - Training, 276530007: Onsite -PD",true,1,3,0,0,0,0,0,0,0,0,0,,,,,,
azt_trainingdate,Training Date,datetime,none,True,2021-06-08 19:13:09,,true,2,3,0,0,0,0,0,0,0,0,0,,,,,,
azt_trainingid,Training,primarykey,systemrequired,False,2021-06-08 19:13:09,,true,0,7,0,0,0,0,0,2,0,1,0,,,,,,
createdby,Created By,lookup,none,False,2021-06-08 19:13:09,,true,0,0,0,0,0,25,0,0,0,1,0,,,,,,
createdon,Created On,datetime,none,False,Skipped (createdon),,true,1,3,0,0,0,7,0,10,0,0,0,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
modifiedby,Modified By,lookup,none,False,2021-06-08 19:13:09,,true,0,0,0,0,0,2,0,0,0,1,0,,,,,,
modifiedon,Modified On,datetime,none,False,Skipped (modifiedon),,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,2020-12-17 02:16:40,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,2020-12-17 02:16:40,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ownerid,Owner,owner,systemrequired,False,2021-06-08 19:13:09,,true,3,4,0,0,0,24,0,22,0,1,0,,,,,,
owningbusinessunit,Owning Business Unit,lookup,none,False,2021-06-08 19:13:09,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
owningteam,Owning Team,lookup,none,False,Never,,true,0,0,0,0,0,1,0,1,0,1,0,,,,,,
owninguser,Owning User,lookup,none,False,2021-06-08 19:13:09,,true,0,0,0,0,0,0,0,1,0,1,0,,,,,,
statecode,Status,state,systemrequired,False,2021-06-08 19:13:09,,true,0,6,0,0,0,10,0,20,0,0,0,,,,,,
statuscode,Training Status,status,none,False,2021-06-08 19:13:09,,true,3,3,0,0,0,5,0,6,0,0,0,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,2021-06-08 19:13:09,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,Never,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
