fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
address1_stateorprovince,Bill To State/Province,nvarchar,none,False,Never,,false,0,0,0,0,0,0,0,4,0,0,0,,,,,,
address1_telephone1,Main Phone,nvarchar,none,False,Never,,false,0,3,0,0,0,0,0,1,0,0,0,,,,,,
azt_stateabbreviation,State Abbreviation,nvarchar,none,True,Never,,false,1,4,0,0,0,0,0,1,0,0,0,,,,,,
businessunitid,Business Unit,uniqueidentifier,required,False,2023-10-25 03:27:14,,false,0,3,0,0,0,1,0,8,0,0,0,,,,,,
createdon,Created On,datetime,none,False,Skipped (createdon),,true,0,0,0,0,0,0,0,10,0,0,0,,,,,,
description,Description,ntext,none,False,Never,,false,0,0,0,0,0,0,0,7,0,0,0,,,,,,
isdisabled,Is Disabled,bit,required,False,2023-10-25 03:27:14,,false,0,1,0,0,0,0,0,0,0,0,0,,,,,,
modifiedon,Modified On,datetime,none,False,Skipped (modifiedon),,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
name,Name,nvarchar,systemrequired,False,2023-10-25 03:27:14,,false,0,7,0,0,0,16,0,23,0,0,0,,,,,,
parentbusinessunitid,Parent Business,lookup,required,False,2023-10-25 03:27:14,,false,0,1,0,0,0,0,0,0,0,0,0,,,,,,
transactioncurrencyid,Currency,lookup,none,False,2023-10-25 03:27:14,,false,0,0,0,0,0,0,0,8,0,0,0,,,,,,
websiteurl,Website,nvarchar,none,False,Never,,false,0,3,0,0,0,0,0,0,0,0,0,,,,,,
