fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_verticalname,Vertical Name,picklist,none,True,2026-03-20 18:09:53,"100000000: CTE, 327630000: Academic, 327630001: Workforce, 327630002: Wellness",true,1,2,0,0,0,0,0,0,0,0,0,,,,,,
connectionid,Connection,uniqueidentifier,required,False,2026-03-21 00:42:12,,true,0,3,0,0,0,0,0,2,0,0,0,,,,,,
createdon,Created On,datetime,none,False,Skipped (createdon),,true,0,0,0,0,0,0,0,10,0,0,0,,,,,,
description,Description,ntext,none,False,2026-03-20 18:09:53,,true,0,3,0,0,0,0,0,7,0,0,0,,,,,,
effectiveend,Ending,datetime,none,False,Never,,false,1,0,0,0,0,0,0,0,0,0,0,,,,,,
effectivestart,Starting,datetime,none,False,2020-02-24 13:30:33,,false,1,0,0,0,0,0,0,0,0,0,0,,,,,,
modifiedon,Modified On,datetime,none,False,Skipped (modifiedon),,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
name,Connection Name,nvarchar,none,False,2026-03-21 00:42:12,,true,0,0,0,0,0,0,0,23,0,0,0,,,,,,
ownerid,Owner,lookup,required,False,2026-03-21 00:42:12,,true,1,0,0,0,0,0,0,22,0,0,0,,,,,,
record1id,Connected From,lookup,none,False,2026-03-21 00:42:12,,true,1,0,0,0,0,0,0,5,0,38,0,,,,,,
record1roleid,Role (From),lookup,none,False,2026-03-21 00:42:12,,true,1,0,0,0,0,0,0,3,0,0,0,,,,,,
record2id,Connected To,lookup,none,False,2026-03-21 00:42:12,,true,1,6,0,0,0,0,0,6,0,38,0,,,,,,
record2roleid,Role (To),lookup,none,False,2026-03-21 00:42:12,,true,0,3,0,0,0,0,0,5,0,0,0,,,,,,
statecode,Status,picklist,required,False,2026-03-21 00:42:12,,true,0,3,0,0,0,0,0,20,0,0,0,,,,,,
statuscode,Status Reason,picklist,none,False,2026-03-21 00:42:12,,true,0,0,0,0,0,0,0,6,0,0,0,,,,,,
transactioncurrencyid,Currency,lookup,none,False,2026-03-21 00:42:12,,true,0,0,0,0,0,0,0,8,0,0,0,,,,,,
