fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
accountid,,,,False,,,true,0,0,0,0,0,0,0,12,0,0,0,,,,Contact,Account ID,AccountId
activityid,,,,False,,,false,0,0,0,0,0,0,0,7,0,0,0,,,,,,
activitytypecode,,,,False,,,false,0,0,0,0,0,0,0,2,0,0,0,,,,,,
actualclosedate,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
address1_addresstypecode,,,,False,,,true,1,0,0,0,0,0,0,0,0,0,0,,,,Contact,Address 1 Address Type,Address_1_Address_Type__c
address1_city,Main Address: City,nvarchar,none,False,,,true,2,1,0,0,0,3,0,0,0,0,0,,,,Contact,Main Address City,Main_Address_City__c
address1_composite,,,,False,,,true,0,1,0,0,0,0,0,0,0,0,0,,,,Contact,Address 1,Address_1__c
address1_fax,,,,False,,,true,0,1,0,0,0,0,0,0,0,0,0,,,,Contact,Address 1 Fax,Address_1_Fax__c
address1_line1,Main Address: Line 1,nvarchar,none,False,,,true,2,0,0,0,0,2,0,0,0,0,0,,,,Contact,Main Address Line 1,Main_Address_Line_1__c
address1_line2,Main Address: Street 2,nvarchar,none,False,,,true,1,0,0,0,0,1,0,0,0,0,0,,,,Contact,Main Address Street 2,Main_Address_Street_2__c
address1_name,,,,False,,,true,1,1,0,0,0,0,0,0,0,0,0,,,,Contact,Address 1 Name,Address_1_Name__c
address1_postalcode,Main Address: Zip,nvarchar,none,False,,,true,2,0,0,0,0,2,0,0,0,0,0,,,,Contact,Main Address Zip,Main_Address_Zip__c
address1_stateorprovince,Main Address: State/Province,nvarchar,none,False,,,true,1,0,0,0,0,10,0,4,0,0,0,,,,Contact,Main Address Stateprovince,Main_Address_Stateprovince__c
address1_telephone1,,,,False,,,true,0,1,0,0,0,0,0,1,0,0,0,,,,Contact,Address 1 Phone,Address_1_Phone__c
address2_country,Main Address: Country,nvarchar,none,False,,,true,1,0,0,0,0,1,0,0,0,0,0,,,,Contact,Main Address Country,Main_Address_Country__c
address2_county,Main Address: County,nvarchar,none,False,,,true,1,0,0,0,0,1,0,0,0,0,0,,,,Contact,Main Address County,Main_Address_County__c
adx_preferredlanguageid,,,,False,,,false,0,0,0,0,0,0,0,0,0,1,0,,,,,,
adx_resolutiondate,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
amountdatatype,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
annotationid,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
assistantname,,,,False,,,true,1,0,0,0,0,0,0,0,0,0,0,,,,Contact,Assistant's Name,AssistantName
assistantphone,,,,False,,,true,1,0,0,0,0,0,0,0,0,0,0,,,,Contact,Assistant's Name,AssistantName
azt_account,,,,True,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_accountid,,,,True,,,false,0,0,0,0,0,0,0,6,0,0,0,,,,,,
azt_accountleadgenerationid,,,,True,,,false,0,0,0,0,0,0,0,3,0,0,0,,,,,,
azt_accounttype,,,,True,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
