fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,notes,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
addressnumber,,,,False,,,true,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_addresssearch,Address Search,nvarchar,none,True,,,true,,1,0,0,0,0,0,0,2,0,0,0,,,,,,
city,,,,False,,,true,,1,2,0,0,0,0,0,0,1,0,0,,,,,,
country,,,,False,,,true,,1,1,0,0,0,0,0,0,1,0,0,,,,,,
customeraddressid,Customeraddress,uniqueidentifier,required,False,,,true,,0,2,0,0,0,0,0,0,0,0,0,,,,,,
fax,,,,False,,,true,,0,1,0,0,0,0,0,0,0,0,0,,,,,,
line1,,,,False,,,true,,1,2,0,0,0,0,0,0,0,0,0,,,,,,
line2,,,,False,,,true,,1,2,0,0,0,0,0,0,0,0,0,,,,,,
line3,,,,False,,,true,,0,1,0,0,0,0,0,0,0,0,0,,,,,,
parentid,,,,False,,,true,,0,0,0,0,0,0,0,0,0,1,0,,,,,,
postalcode,,,,False,,,true,,1,2,0,0,0,0,0,0,0,0,0,,,,,,
primarycontactname,,,,False,,,false,,0,1,0,0,0,0,0,0,0,0,0,,,,,,
stateorprovince,,,,False,,,true,,1,2,0,0,0,0,0,2,0,0,0,,,,,,
