fieldName,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
accountid,,,,Case,AccountId,AccountId
activityid,,,,Case,,
activitytypecode,,,,Case,,
actualclosedate,,,,Case,,
address1_stateorprovince,,,,Case,,
address1_telephone1,,,,Case,,
adx_resolutiondate,,,,Case,,
amountdatatype,,,,Case,,
annotationid,,,,Case,,
azt_account,,,,Case,,
azt_accountid,,,,Case,,
azt_accountleadgenerationid,,,,Case,,
azt_accountleadgenname,,,,Case,,
azt_accounttype,,,,Case,,
azt_addresssearch,,,,Case,,
azt_addresssearch2,,,,Case,,
azt_addtocrtqueue,,,,Case,,
azt_ageendedstage,,,,Case,,
azt_allocatedtoid,,,,Case,,
azt_allocationtype,,,,Case,,
azt_amount,,,,Case,,
azt_annualspend,,,,Case,,
azt_approvalstatus,,,,Case,,
azt_autocreatecallback,,,,Case,,
azt_autonumberid,,,,Case,,
azt_azteccustomerid,,,,Case,,
azt_bookingurl,,,,Case,,
azt_callbackin,,,,Case,,
azt_callbackon,,,,Case,,
azt_caseid,,,,Case,,
azt_commissionamount,,,,Case,,
azt_commissionid,,,,Case,,
azt_commissionpaymentid,,,,Case,,
azt_companyname,,,,Case,,
azt_compcompleted,,,,Case,,
azt_compgoalid,,,,Case,,
azt_compgoaltypeid,,,,Case,,
azt_compplanamountid,,,,Case,,
azt_concurrentusers,,,,Case,,
azt_copydescription,,,,Case,,
azt_copysubject,,,,Case,,
azt_currentnumber,,,,Case,,
azt_customerid,,,,Case,,
azt_customertrainingid,,,,Case,,
azt_dateexitedstage,,,,Case,,
azt_defaultfreightamount,,,,Case,,
azt_description,,,,Case,,
azt_discountamount,,,,Case,,
azt_discretionarydiscountamt,,,,Case,,
azt_duedate,,,,Case,,
azt_effectivedate,,,,Case,,
azt_email,,,,Case,,
azt_enddate,,,,Case,,
azt_engagementid,,,,Case,,
azt_estfulfillmentdate,,,,Case,,
azt_evaluate,,,,Case,,
azt_expenseamount,,,,Case,,
azt_expenseid,,,,Case,,
azt_expensereportid,,,,Case,,
azt_expensetype,,,,Case,,
azt_expirationdate,,,,Case,,
azt_extension,,,,Case,,
azt_fieldtoautonumber,,,,Case,,
azt_firstname,,,,Case,,
azt_fiscalperiodend,,,,Case,,
azt_fiscalperiodstart,,,,Case,,
azt_freightamtapproved,,,,Case,,
azt_fsrassignedon,,,,Case,,
azt_fsremail,,,,Case,,
azt_fsrid,,,,Case,,
azt_fsrmobiletelephone,,,,Case,,
azt_fsrtelephone,,,,Case,,
azt_fsrtelephoneextension,,,,Case,,
azt_fundingid,,,,Case,,
azt_fundingyear,,,,Case,,
azt_goaltype,,,,Case,,
azt_importname,,,,Case,,
azt_invoiceid,,,,Case,,
azt_invoiceproductid,,,,Case,,
azt_isbn,,,,Case,,
azt_iscompanion,,,,Case,,
azt_isprint,,,,Case,,
azt_issaas,,,,Case,,
azt_jobrole,,,,Case,,
azt_jobtitle,,,,Case,,
azt_lastactivitydate,,,,Case,,
azt_lastmodifiedbyid,,,,Case,,
azt_lastname,,,,Case,,
azt_leadimportid,,,,Case,,
azt_leadsourceid,,,,Case,,
azt_licensestatus,,,,Case,,
azt_licenseterm,,,,Case,,
azt_licensetermmonths,,,,Case,,
azt_licensetype,,,,Case,,
azt_masecommission,,,,Case,,
azt_mileage,,,,Case,,
azt_monthstofilteron,,,,Case,,
azt_name,,,,Case,,
azt_newestclosedate,,,,Case,,
azt_newestimatedvalue,,,,Case,,
azt_newownerid,,,,Case,,
azt_newprobability,,,,Case,,
azt_nonsaasstatus,,,,Case,,
azt_nonsaastype,,,,Case,,
azt_numberoflicenses,,,,Case,,
azt_opportunityauditrecordid,,,,Case,,
azt_opportunityid,,,,Case,,
azt_opportunityproductid,,,,Case,,
azt_orderid,,,,Case,,
azt_orderlineid,,,,Case,,
azt_orderproductid,,,,Case,,
azt_orderstageid,,,,Case,,
azt_ordertemplatelines,,,,Case,,
azt_ordertype,,,,Case,,
azt_originatingleadimportid,,,,Case,,
azt_paid,,,,Case,,
azt_paidon,,,,Case,,
azt_parentopportunityid,,,,Case,,
azt_parentorderid,,,,Case,,
azt_payablecommission,,,,Case,,
azt_paymentdate,,,,Case,,
azt_paymentid,,,,Case,,
azt_percentage,,,,Case,,
azt_percentagepaid,,,,Case,,
azt_periodend,,,,Case,,
azt_periodstart,,,,Case,,
azt_phone,,,,Case,,
azt_ponumber,,,,Case,,
azt_prefix,,,,Case,,
azt_prefixhasseparator,,,,Case,,
azt_prefixseparator,,,,Case,,
azt_prefixseparatorisspace,,,,Case,,
azt_previousestclosedate,,,,Case,,
azt_previousestimatedvalue,,,,Case,,
azt_previousownerid,,,,Case,,
azt_previousprobability,,,,Case,,
azt_printproductid,,,,Case,,
azt_printpurchaseid,,,,Case,,
azt_probability,,,,Case,,
azt_probabilitychangedon,,,,Case,,
azt_probabilityincreased,,,,Case,,
azt_productdiscountid,,,,Case,,
azt_producttype,,,,Case,,
azt_purchasedate,,,,Case,,
azt_quantity,,,,Case,,
azt_quotenumber,,,,Case,,
azt_quoteproductid,,,,Case,,
azt_reasonforexpense,,,,Case,,
azt_recordowner,,,,Case,,
azt_recordownerid,,,,Case,,
azt_replacementproductid,,,,Case,,
azt_requestedfreightamt,,,,Case,,
azt_resolvedbyid,,,,Case,,
azt_result,,,,Case,,
azt_saas,,,,Case,,
azt_saasstatus,,,,Case,,
azt_salesrepid,,,,Case,,
azt_softwarelicenseid,,,,Case,,
azt_softwareproductid,,,,Case,,
azt_startdate,,,,Case,,
azt_stateabbreviation,,,,Case,,
azt_stateprovince,,,,Case,,
azt_suffix,,,,Case,,
azt_suffixhasseparator,,,,Case,,
azt_suffixseparator,,,,Case,,
azt_suffixseparatorisspace,,,,Case,,
azt_supportexpirationdate,,,,Case,,
azt_total,,,,Case,,
azt_totalamountpaid,,,,Case,,
azt_totalfunding,,,,Case,,
azt_totalreimbursement,,,,Case,,
azt_trackingnumber,,,,Case,,
azt_trackingnumbers,,,,Case,,
azt_trainingid,,,,Case,,
azt_year,,,,Case,,
baseamount,,,,Case,,
billto_line1,,,,Case,,
billto_line2,,,,Case,,
billto_line3,,,,Case,,
billto_name,,,,Case,,
billto_postalcode,,,,Case,,
billto_stateorprovince,,,,Case,,
body,,,,Case,,
bpf_duration,,,,Case,,
bpf_salesorderid,,,,Case,,
businessprocessflowinstanceid,,,,Case,,
businessunitid,,,,Case,,
