fieldName,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
accountid,,,,Invoice__c,Account,Account__c
azt_actualopportunitycommission,Invoice - Custom,CRM Actual Opportunity Commission,CRM_Actual_Opportunity Commission__c,,,
azt_actualtotalcommission,Invoice - Custom,CRM Actual Total Commission,CRM_Actual_Total_Commission__c,,,
azt_additionalfees,Invoice - Custom,CRM Additional Fees,CRM_Additional_Fees__c,,,
azt_amountpaid,Invoice - Custom,CRM Amount Paid,CRM_Amount_Paid__c,,,
azt_balance,Invoice - Custom,CRM Balance,CRM_Balance__c,,,
azt_checkdatecommission,Invoice - Custom,CRM Check Date Commission,CRM_Check_Date_Commission__c,,,
azt_compcompleted,Invoice - Custom,CRM Comp Completed,CRM_Comp_Completed__c,,,
azt_discretionarydiscountamt,Invoice - Custom,CRM Discretionary Discount Amount,CRM_Discretionary_Discount_Amount__c,,,
azt_invoicealert,Invoice - Custom,CRM Invoice Alert,CRM_Invoice_Alert__c,,,
azt_invoicedate,,,,Invoice__c,Invoice Date,Invoice_Date__c
azt_numberofpayments,Invoice - Custom,CRM No Payments,CRM_No_Payments__c,,,
azt_paid,Invoice - Custom,CRM Paid Pct,CRM_Paid_Pct__c,,,
azt_paidon,Invoice - Custom,CRM Paid On,CRM_Paid_On__c,,,
azt_paymentsalreadysplit,Invoice - Custom,CRM Payments Already Split,CRM_Payments_Already_Split__c,,,
azt_paymenttype,Invoice - Custom,CRM Payment Type,CRM_Payment_Type__c,,,
azt_ponumber,Invoice - Custom,PO Number,PO_Number__c,,,
azt_poreceiveddate,Invoice - Custom,PO Received Date,PO_Received_Date__c,,,
azt_quotenumber,Invoice - Custom,CRM Quote Number,CRM_Quote_Number__c,,,
azt_recordownerid,Invoice - Custom,Owner,OwenrId,,,
azt_totalamountpaid,Invoice - Custom,CRM Total Amount Paid,CRM_Total_Amount_Paid__c,,,
azt_totalcommissionableamount,Invoice - Custom,CRM Total Commissionable Amount,CRM_Total_Commissionable_Amount__c,,,
billto_city,Invoice - Custom,N/A,N/A,,,
billto_composite,Invoice - Custom,N/A,N/A,,,
billto_country,Invoice - Custom,N/A,N/A,,,
billto_line1,Invoice - Custom,N/A,N/A,,,
billto_line2,Invoice - Custom,N/A,N/A,,,
billto_line3,Invoice - Custom,N/A,N/A,,,
billto_postalcode,Invoice - Custom,N/A,N/A,,,
billto_stateorprovince,Invoice - Custom,N/A,N/A,,,
createdby,Invoice - Custom,CRM Created By,CRM_Created_By__c,,,
createdon,Invoice - Custom,CRM Created On,CRM_Created_On__c,,,
customerid,Invoice - Custom,Account,AccountID,,,
description,Invoice - Custom,Description,Description__c,,,
discountamount,Invoice - Custom,CRM Invoice Discount Amount,CRM_Invoice_Discount_Amount__c,,,
freightamount,Invoice - Custom,CRM Freight Amount,CRM_Freight_Amount,,,
invoicenumber,Invoice - Custom,Invoice GUID,Invoice_GUID__c,,,
modifiedby,Invoice - Custom,CRM Modified By,CRM_Modified_By__c,,,
modifiedon,Invoice - Custom,CRM Modified On,CRM_Modified_On__c,,,
name,Invoice - Custom,CRM Invoice Name,CRM_Invoice_Name__c,,,
opportunityid,Invoice - Custom,CRM Opportunity,CRM_Opportunity__c,,,
overriddencreatedon,Invoice - Custom,CRM Record Created On,CRM_Record_Created_On,,,
ownerid,Invoice - Custom,CRM Owner,CRM_Owner__c,,,
owningbusinessunit,Invoice - Custom,CRM Owning Business Unit,CRM_Owning_Business_Unit__c,,,
paymenttermscode,Invoice - Custom,CRM Payment Terms,CRM_Payment_Terms__c,,,
pricelevelid,Invoice - Custom,CRM Price List,CRM_Price_List__c,,,
salesorderid,Invoice - Custom,Order,Order__c,,,
shippingmethodcode,Invoice - Custom,CRM Shipping Method,CRM_Shipping_Method__c,,,
shipto_city,Invoice - Custom,N/A,N/A,,,
shipto_composite,Invoice - Custom,N/A,N/A,,,
shipto_country,Invoice - Custom,N/A,N/A,,,
shipto_freighttermscode,Invoice - Custom,N/A,N/A,,,
shipto_line1,Invoice - Custom,N/A,N/A,,,
shipto_line2,Invoice - Custom,N/A,N/A,,,
shipto_line3,Invoice - Custom,N/A,N/A,,,
shipto_name,Invoice - Custom,N/A,N/A,,,
shipto_postalcode,Invoice - Custom,N/A,N/A,,,
shipto_stateorprovince,Invoice - Custom,N/A,N/A,,,
statecode,Invoice - Custom,CRM Status,CRM_Status__c,,,
statuscode,Invoice - Custom,CRM Status Reason,CRM_Status_Reason__c,,,
totalamount,Invoice - Custom,Amount Invoiced,Amount_Invoiced__c,,,
totalamountlessfreight,Invoice - Custom,CRM Total Pre Freight Amount,CRM_Total_Pre_Freight_Amount,,,
totaldiscountamount,Invoice - Custom,CRM Total Discount Amount,CRM_Total_Discount_Amount__c,,,
totallineitemamount,Invoice - Custom,CRM Total Detail Amount,CRM_Total_Detail_Amount__c,,,
totallineitemdiscountamount,Invoice - Custom,CRM Total Line Item Discount Amount,CRM_Total_Line_Item_Discount_Amount__c,,,
totaltax,Invoice - Custom,CRM Total Tax,CRM_Total_Tax,,,
