fieldName,displayName,dataType,requiredLevel,isCustom,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
createdon,Created On,datetime,none,False,,true,0,0,0,0,0,0,0,10,0,0,0,,,,,,
description,Description,nvarchar,none,False,,true,0,0,0,0,0,0,0,7,0,0,0,,,,,,
modifiedon,Modified On,datetime,none,False,,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
msdyn_contentstore,File storage content reference,virtual,none,False,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
msdyn_integratedsearchproviderid,Integrated Search Dataprovider Id ,lookup,none,True,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
ownerid,Owner,lookup,required,False,,true,0,0,0,0,0,0,0,22,0,0,0,,,,,,
statecode,Status,picklist,required,False,,true,0,0,0,0,0,0,0,20,0,0,0,,,,,,
statuscode,Status Reason,picklist,none,False,,true,0,0,0,0,0,0,0,6,0,0,0,,,,,,
title,Title,nvarchar,required,False,,true,0,0,0,0,0,0,0,2,0,0,0,,,,,,
transactioncurrencyid,Currency,lookup,none,False,,true,0,0,0,0,0,0,0,8,0,0,0,,,,,,
