fieldName,displayName,dataType,requiredLevel,isCustom,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
activityid,Letter,uniqueidentifier,required,False,,true,0,0,0,0,0,0,0,7,0,0,0,,,,,,
activitytypecode,Activity Type,entityname,required,False,,true,0,0,0,0,0,0,0,2,0,0,0,,,,,,
category,Category,nvarchar,none,False,,true,0,0,0,0,0,0,0,3,0,0,0,,,,,,
createdon,Created On,datetime,none,False,,true,0,0,0,0,0,0,0,10,0,0,0,,,,,,
description,Description,ntext,none,False,,true,0,0,0,0,0,14,0,7,0,0,0,,,,,,
modifiedon,Modified On,datetime,none,False,,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
ownerid,Owner,lookup,required,False,,true,0,0,0,0,0,0,0,22,0,0,0,,,,,,
regardingobjectid,Regarding,lookup,none,False,,true,0,0,0,0,0,14,0,8,0,32,0,,,,,,
scheduledend,Due Date,datetime,none,False,,true,0,0,0,0,0,0,0,2,0,0,0,,,,,,
statecode,Activity Status,picklist,required,False,,true,0,0,0,0,0,0,0,20,0,0,0,,,,,,
statuscode,Status Reason,picklist,none,False,,true,0,0,0,0,0,0,0,6,0,0,0,,,,,,
subject,Subject,nvarchar,required,False,,true,0,0,0,0,0,0,0,3,0,0,0,,,,,,
transactioncurrencyid,Currency,lookup,none,False,,true,0,0,0,0,0,0,0,8,0,0,0,,,,,,
