fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
activityid,Opportunity Close,uniqueidentifier,required,False,2026-03-20 18:56:22,,true,0,0,0,0,0,0,0,7,0,0,0,,,,,,
activitytypecode,Activity Type,entityname,required,False,2026-03-20 18:56:22,,true,0,0,0,0,0,0,0,2,0,0,0,,,,,,
category,Category,nvarchar,none,False,Never,,false,0,0,0,0,0,0,0,3,0,0,0,,,,,,
createdon,Created On,datetime,none,False,Skipped (createdon),,true,0,0,0,0,0,0,0,10,0,0,0,,,,,,
description,Description,ntext,none,False,2026-03-19 13:40:01,,true,0,0,0,0,0,0,0,7,0,0,0,,,,,,
modifiedon,Modified On,datetime,none,False,Skipped (modifiedon),,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
opportunityid,Opportunity,lookup,required,False,2026-03-20 18:56:22,,true,0,0,0,0,0,0,0,32,0,0,0,,,,,,
opportunitystatuscode,Status Reason,picklist,none,False,Never,"276530000: Processed, 276530001: No Funding Available, 276530002: Lost to Competitor, 276530003: No Test Prep Offered, 276530004: No Computers/Technology, 276530005: Customer Unresponsive, 276530006: Change in Decision Maker/Champion, 276530007: Organization Shut Down, 276530008: Other, 276530009: Bulk Loss Older than 1 Year, 1: In Progress, 2: On Hold, 3: Won, 4: Selected another Aztec Opportunity, 5: Too Expensive",false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ownerid,Owner,lookup,required,False,2026-03-20 18:56:22,,true,0,0,0,0,0,0,0,22,0,0,0,,,,,,
regardingobjectid,Regarding,lookup,none,False,2026-03-20 18:56:22,,true,0,0,0,0,0,14,0,8,0,2,0,,,,,,
scheduledend,Scheduled End,datetime,none,False,Never,,false,0,0,0,0,0,0,0,2,0,0,0,,,,,,
statecode,Status,picklist,required,False,2026-03-20 18:56:22,,true,0,0,0,0,0,0,0,20,0,0,0,,,,,,
statuscode,Status Reason,picklist,none,False,2026-03-20 18:56:22,,true,0,0,0,0,0,0,0,6,0,0,0,,,,,,
subject,Subject,nvarchar,none,False,2026-03-20 18:56:22,,true,0,0,0,0,0,0,0,3,0,0,0,,,,,,
transactioncurrencyid,Currency,lookup,none,False,2026-03-20 18:56:22,,true,0,0,0,0,0,0,0,8,0,0,0,,,,,,
