fieldName,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
accountid,,,,Order,AccountId,AccountId
azt_discretionarydiscountamt,,,,Order,CRM_Discretionary_Discount_Amount__c,CRM_Discretionary_Discount_Amount__c
azt_estfulfillmentdate,,,,Order,CRM_Est_Fulfillment_Date__c,CRM_Est_Fulfillment_Date__c
azt_fsremail,,,,Order,CRM_FSR_Email__c,CRM_FSR_Email__c
azt_fsrid,,,,Order,CRM_FSR__c,CRM_FSR__c
azt_fsrmobiletelephone,,,,Order,CRM_FSR_Mobile__c,CRM_FSR_Mobile__c
azt_fsrtelephone,,,,Order,CRM_FSR_Phone__c,CRM_FSR_Phone__c
azt_fsrtelephoneextension,,,,Order,CRM_FSR_Extension__c,CRM_FSR_Extension__c
azt_ordertemplatelines,,,,Order,CRM_Order_Template_Lines__c,CRM_Order_Template_Lines__c
azt_ordertype,,,,Order,Type,Type
azt_ponumber,,,,Order,PoNumber,PoNumber
azt_quotenumber,,,,Order,CRM_Quote_Number__c,CRM_Quote_Number__c
azt_recordownerid,,,,Order,OwnerId,OwnerId
billto_line1,,,,Order,BillingStreet,BillingStreet
billto_postalcode,,,,Order,BillingPostalCode,BillingPostalCode
billto_stateorprovince,,,,Order,BillingState,BillingState
createdon,,,,Order,CRM_Created_On__c,CRM_Created_On__c
customerid,,,,Order,AccountId,AccountId
datefulfilled,,,,Order,Date_Fulfilled__c,Date_Fulfilled__c
description,,,,Order,Description,Description
discountamount,,,,Order,CRM_Order_Discount_Amount__c,CRM_Order_Discount_Amount__c
freightamount,,,,Order,Freight_Amount__c,Freight_Amount__c
name,,,,Order,Name,Name
opportunityid,,,,Order,OpportunityId,OpportunityId
ordernumber,,,,Order,OrderNumber,OrderNumber
ownerid,,,,Order,OwnerId,OwnerId
pricelevelid,,,,Order,CRM_Price_List__c,CRM_Price_List__c
quoteid,,,,Order,CRM_Quote__c,CRM_Quote__c
requestdeliveryby,,,,Order,CRM_Requested_Delivery_Date__c,CRM_Requested_Delivery_Date__c
statuscode,,,,Order,StatusCode,StatusCode
totalamount,,,,Order,TotalAmount,TotalAmount
