fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,notes,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
activityid,,,,False,,,true,,0,15,0,0,0,0,0,7,0,0,0,,,,,,
actualend,,,,False,,,true,,0,24,3,0,0,0,0,0,0,0,0,,,,,,
azt_addtocrtqueue,Add to CRT Queue?,bit,none,True,,"1: Yes, 0: No",true,,1,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_autocreatecallback,Autocreate Callback?,bit,none,True,,"1: Yes, 0: No",true,,1,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_callbackin,Callback In:,picklist,none,True,,"276530000: 1 Day, 276530001: 2 Days, 276530002: 3 Days, 276530003: 1 Week, 276530004: 1 Month, 276530005: Specific Date",true,,1,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_callbackon,Callback On,datetime,none,True,,,true,,1,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_copydescription,Copy Description?,bit,none,True,,"1: Yes, 0: No",true,,1,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_copysubject,Copy Subject?,bit,none,True,,"1: Yes, 0: No",true,,1,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_historicalowner,Historical Owner,nvarchar,none,True,,,true,,1,0,0,0,0,2,0,0,0,0,0,,,,,,
azt_phonecallstatus,Phonecall Status,picklist,none,True,,"276530000: Active, 276530001: Failed, 276530002: Qualified",false,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_recordownerid,Record Owner,lookup,none,True,,,true,,1,15,13,0,0,37,0,9,0,1,0,,,,,,
azt_result,Result,picklist,none,True,,"327630000: Connected, 327630001: Left VM, 327630002: No Answer",true,,1,0,0,0,0,0,0,1,0,0,0,,,,,,
createdby,Created By,lookup,none,False,,,true,,0,2,0,0,0,3,0,0,0,0,0,,,,,,
description,Description,ntext,none,False,,,true,,0,0,0,0,0,14,0,7,0,0,0,,,,,,
directioncode,,,,False,,,true,,0,0,0,0,0,1,0,0,0,0,0,,,,,,
from,,,,False,,,true,,0,0,0,0,0,1,0,2,0,0,0,,,,,,
leftvoicemail,,,,False,,,true,,0,0,0,0,0,1,0,0,0,0,0,,,,,,
phonenumber,,,,False,,,true,,1,3,0,0,0,0,0,1,0,0,0,,,,,,
prioritycode,,,,False,,,true,,0,3,0,0,0,1,0,0,0,0,0,,,,,,
regardingobjectid,Regarding,lookup,none,False,,,true,,0,4,0,0,0,14,0,8,0,35,0,,,,,,
scheduledend,,,,False,,,true,,0,5,0,0,0,1,0,2,0,0,0,,,,,,
to,,,,False,,,true,,0,3,0,0,0,1,0,2,0,0,0,,,,,,
