fieldName,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
accountid,,,,Pricebook2,,
activityid,,,,Pricebook2,,
activitytypecode,,,,Pricebook2,,
actualclosedate,,,,Pricebook2,,
address1_stateorprovince,,,,Pricebook2,,
address1_telephone1,,,,Pricebook2,,
adx_resolutiondate,,,,Pricebook2,,
amountdatatype,,,,Pricebook2,,
annotationid,,,,Pricebook2,,
azt_account,,,,Pricebook2,,
azt_accountid,,,,Pricebook2,,
azt_accountleadgenerationid,,,,Pricebook2,,
azt_accountleadgenname,,,,Pricebook2,,
azt_accounttype,,,,Pricebook2,,
azt_addresssearch,,,,Pricebook2,,
azt_addresssearch2,,,,Pricebook2,,
azt_addtocrtqueue,,,,Pricebook2,,
azt_ageendedstage,,,,Pricebook2,,
azt_allocatedtoid,,,,Pricebook2,,
azt_allocationtype,,,,Pricebook2,,
azt_amount,,,,Pricebook2,,
azt_annualspend,,,,Pricebook2,,
azt_approvalstatus,,,,Pricebook2,,
azt_autocreatecallback,,,,Pricebook2,,
azt_autonumberid,,,,Pricebook2,,
azt_azteccustomerid,,,,Pricebook2,,
azt_bookingurl,,,,Pricebook2,,
azt_callbackin,,,,Pricebook2,,
azt_callbackon,,,,Pricebook2,,
azt_caseid,,,,Pricebook2,,
azt_commissionamount,,,,Pricebook2,,
azt_commissionid,,,,Pricebook2,,
azt_commissionpaymentid,,,,Pricebook2,,
azt_companyname,,,,Pricebook2,,
azt_compcompleted,,,,Pricebook2,,
azt_compgoalid,,,,Pricebook2,,
azt_compgoaltypeid,,,,Pricebook2,,
azt_compplanamountid,,,,Pricebook2,,
azt_concurrentusers,,,,Pricebook2,,
azt_copydescription,,,,Pricebook2,,
azt_copysubject,,,,Pricebook2,,
azt_currentnumber,,,,Pricebook2,,
azt_customerid,,,,Pricebook2,,
azt_customertrainingid,,,,Pricebook2,,
azt_dateexitedstage,,,,Pricebook2,,
azt_defaultfreightamount,,,,Pricebook2,,
azt_defaultpricelistid,,,,Pricebook2,,
azt_description,,,,Pricebook2,,
azt_discountamount,,,,Pricebook2,,
azt_discretionarydiscountamt,,,,Pricebook2,,
azt_duedate,,,,Pricebook2,,
azt_effectivedate,,,,Pricebook2,,
azt_email,,,,Pricebook2,,
azt_enddate,,,,Pricebook2,,
azt_engagementid,,,,Pricebook2,,
azt_estfulfillmentdate,,,,Pricebook2,,
azt_evaluate,,,,Pricebook2,,
azt_expenseamount,,,,Pricebook2,,
azt_expenseid,,,,Pricebook2,,
azt_expensereportid,,,,Pricebook2,,
azt_expensetype,,,,Pricebook2,,
azt_expirationdate,,,,Pricebook2,,
azt_extension,,,,Pricebook2,,
azt_fieldtoautonumber,,,,Pricebook2,,
azt_firstname,,,,Pricebook2,,
azt_fiscalperiodend,,,,Pricebook2,,
azt_fiscalperiodstart,,,,Pricebook2,,
azt_freightamtapproved,,,,Pricebook2,,
azt_fsrassignedon,,,,Pricebook2,,
azt_fsremail,,,,Pricebook2,,
azt_fsrid,,,,Pricebook2,,
azt_fsrmobiletelephone,,,,Pricebook2,,
azt_fsrtelephone,,,,Pricebook2,,
azt_fsrtelephoneextension,,,,Pricebook2,,
azt_fundingid,,,,Pricebook2,,
azt_fundingyear,,,,Pricebook2,,
azt_goaltype,,,,Pricebook2,,
azt_importname,,,,Pricebook2,,
azt_invoiceid,,,,Pricebook2,,
