fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_iscompanion,Is Companion,bit,none,True,2026-03-03 19:38:44,"1: Yes, 0: No",true,1,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_isprint,Is Print,bit,none,True,2026-03-03 19:38:44,"1: Yes, 0: No",true,1,3,0,0,0,0,0,1,0,0,0,,,,,,
azt_nonsaastype,Non-SaaS Type,picklist,none,True,2026-02-25 19:42:12,"276530001: Kaplan Books, 276530000: Life Skills, 276530003: GED Vouchers, 327630000: Paxen Print, 276530002: Other",true,1,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_productcategory,Product Category,picklist,none,True,2026-03-03 19:38:44,"327630000: ABE, 327630001: HSE, 327630002: College, 327630003: Healthcare, 327630004: Trades, 327630005: Life Skills, 327630006: Work Skills",true,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_productfamily,Product Family,multiselectpicklist,none,True,2026-03-03 19:38:44,,true,1,2,0,0,0,0,0,0,0,0,0,,,,,,
azt_productgroup,Product Group,picklist,none,True,2026-03-03 19:38:44,"327630000: CASAS, 327630007: CTE Supplemental, 327630002: Comprehensive, 327630008: GED Comprehensive, 327630004: Credential, 327630011: Foundations, 327630010: Fundamentals, 327630003: GED Supplemental, 327630009: HiSET, 327630006: Non Re-entry, 327630012: Pre-HSE, 327630005: Re-entry, 327630001: TABE, 327630013: Vouchers, 327630014: Other",true,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_productlanguage,Product Language,picklist,none,True,2026-03-03 19:38:44,"327630000: English, 327630001: Spanish",true,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_replacementproductid,Replacement Product,lookup,none,True,2024-03-22 06:50:30,,true,1,0,0,0,0,0,0,1,0,1,0,,,,,,
azt_saas,SAAS,bit,required,True,2026-03-03 19:38:44,"1: Yes, 0: No",true,1,5,0,0,0,0,0,2,0,0,0,,,,,,
azt_salesfamily,Sales Family,picklist,none,True,2026-03-03 19:38:44,"327630000: Academic, 327630001: Workforce, 327630002: Financial Wellness, 327630003: CTE, 327630004: Other",true,1,0,0,0,0,0,0,0,0,0,0,,,,,,
createdon,Created On,datetime,none,False,Skipped (createdon),,true,0,0,0,0,0,0,0,10,0,0,0,,,,,,
defaultuomid,Default Unit,lookup,required,False,2026-03-03 19:38:44,,true,0,0,0,0,0,0,0,2,0,0,0,,,,,,
description,Description,ntext,none,False,2026-01-03 04:10:34,,true,0,1,0,0,0,14,0,7,0,0,0,,Description,,,,
entityimage,Entity Image,image,none,False,Skipped (image),,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
exchangerate,Exchange Rate,decimal,none,False,2026-03-03 19:38:44,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
hierarchypath,Hierarchy Path,nvarchar,none,False,2024-03-22 06:50:30,,true,0,5,0,0,0,0,0,0,0,0,0,,,,,,
modifiedon,Modified On,datetime,none,False,Skipped (modifiedon),,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
name,Name,nvarchar,required,False,2026-03-03 19:38:44,,true,0,12,0,0,0,16,0,23,0,0,0,,Name,,,,
parentproductid,Parent,lookup,none,False,2024-03-22 06:50:30,,true,0,1,0,0,0,0,0,0,0,0,0,,,,,,
price,List Price,money,none,False,2026-03-03 19:38:44,,true,1,1,0,0,0,0,0,0,0,0,0,,,,,,
pricelevelid,Default Price List,lookup,recommended,False,2026-03-03 19:38:44,,true,0,3,0,0,0,0,0,1,0,0,0,,,,,,
productid,Product,uniqueidentifier,required,False,2026-03-03 19:38:44,,true,0,6,0,8,0,0,0,33,0,1,0,,,,,,
productnumber,Product ID,nvarchar,systemrequired,False,2026-03-03 19:38:44,,true,0,7,0,5,0,0,0,3,0,0,0,,,,,,
productstructure,Product Structure,picklist,systemrequired,False,2026-03-03 19:38:44,"1: Product, 2: Product Family, 3: Product Bundle",true,0,6,0,0,0,0,0,0,0,0,0,,,,,,
producttypecode,Product Type,picklist,none,False,2026-03-03 19:38:44,"1: Software, 2: Legacy, 3: Hardware, 4: Books, 5: Life Skills Book, 6: PD, 8: Vouchers, 9: P6, 7: Other",true,1,6,0,0,0,0,0,3,0,0,0,,,,,,
statecode,Status,state,systemrequired,False,2026-03-03 19:38:44,,true,0,4,0,0,0,10,0,20,0,0,0,,,,,,
statuscode,Status Reason,picklist,none,False,2026-03-03 19:38:44,,true,0,2,0,0,0,0,0,6,0,0,0,,,,,,
transactioncurrencyid,Currency,lookup,none,False,2026-03-03 19:38:44,,true,0,0,0,0,0,0,0,8,0,0,0,,,,,,
validfromdate,Valid From,datetime,none,False,2024-03-22 06:43:42,,true,0,3,0,0,0,0,0,0,0,0,0,,,,,,
validtodate,Valid To,datetime,none,False,2024-03-22 06:43:42,,true,0,3,0,0,0,0,0,0,0,0,0,,,,,,
