fieldName,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
a_8476bb55b676e811a958000d3a1d7b67.azt_saas,,,,PricebookEntry,,
a_8476bb55b676e811a958000d3a1d7b67.productnumber,,,,PricebookEntry,,
accountid,,,,PricebookEntry,,
activityid,,,,PricebookEntry,,
activitytypecode,,,,PricebookEntry,,
actualclosedate,,,,PricebookEntry,,
address1_stateorprovince,,,,PricebookEntry,,
address1_telephone1,,,,PricebookEntry,,
adx_resolutiondate,,,,PricebookEntry,,
amount,,,,PricebookEntry,List Price,UnitPrice
amountdatatype,,,,PricebookEntry,,
annotationid,,,,PricebookEntry,,
azt_account,,,,PricebookEntry,,
azt_accountid,,,,PricebookEntry,,
azt_accountleadgenerationid,,,,PricebookEntry,,
azt_accountleadgenname,,,,PricebookEntry,,
azt_accounttype,,,,PricebookEntry,,
azt_addresssearch,,,,PricebookEntry,,
azt_addresssearch2,,,,PricebookEntry,,
azt_addtocrtqueue,,,,PricebookEntry,,
azt_ageendedstage,,,,PricebookEntry,,
azt_allocatedtoid,,,,PricebookEntry,,
azt_allocationtype,,,,PricebookEntry,,
azt_amount,,,,PricebookEntry,,
azt_annualspend,,,,PricebookEntry,,
azt_approvalstatus,,,,PricebookEntry,,
azt_autocreatecallback,,,,PricebookEntry,,
azt_autonumberid,,,,PricebookEntry,,
azt_azteccustomerid,,,,PricebookEntry,,
azt_bookingurl,,,,PricebookEntry,,
azt_callbackin,,,,PricebookEntry,,
azt_callbackon,,,,PricebookEntry,,
azt_caseid,,,,PricebookEntry,,
azt_commissionamount,,,,PricebookEntry,,
azt_commissionid,,,,PricebookEntry,,
azt_commissionpaymentid,,,,PricebookEntry,,
azt_companyname,,,,PricebookEntry,,
azt_compcompleted,,,,PricebookEntry,,
azt_compgoalid,,,,PricebookEntry,,
azt_compgoaltypeid,,,,PricebookEntry,,
azt_compplanamountid,,,,PricebookEntry,,
azt_concurrentusers,,,,PricebookEntry,,
azt_copydescription,,,,PricebookEntry,,
azt_copysubject,,,,PricebookEntry,,
azt_currentnumber,,,,PricebookEntry,,
azt_customerid,,,,PricebookEntry,,
azt_customertrainingid,,,,PricebookEntry,,
azt_dateexitedstage,,,,PricebookEntry,,
azt_defaultfreightamount,,,,PricebookEntry,,
azt_description,,,,PricebookEntry,,
azt_discountamount,,,,PricebookEntry,,
azt_discretionarydiscountamt,,,,PricebookEntry,,
azt_duedate,,,,PricebookEntry,,
azt_effectivedate,,,,PricebookEntry,,
azt_email,,,,PricebookEntry,,
azt_enddate,,,,PricebookEntry,,
azt_engagementid,,,,PricebookEntry,,
azt_estfulfillmentdate,,,,PricebookEntry,,
azt_evaluate,,,,PricebookEntry,,
azt_expenseamount,,,,PricebookEntry,,
azt_expenseid,,,,PricebookEntry,,
azt_expensereportid,,,,PricebookEntry,,
azt_expensetype,,,,PricebookEntry,,
azt_expirationdate,,,,PricebookEntry,,
azt_extension,,,,PricebookEntry,,
azt_fieldtoautonumber,,,,PricebookEntry,,
azt_firstname,,,,PricebookEntry,,
azt_fiscalperiodend,,,,PricebookEntry,,
azt_fiscalperiodstart,,,,PricebookEntry,,
azt_freightamtapproved,,,,PricebookEntry,,
azt_fsrassignedon,,,,PricebookEntry,,
azt_fsremail,,,,PricebookEntry,,
azt_fsrid,,,,PricebookEntry,,
azt_fsrmobiletelephone,,,,PricebookEntry,,
azt_fsrtelephone,,,,PricebookEntry,,
azt_fsrtelephoneextension,,,,PricebookEntry,,
azt_fundingid,,,,PricebookEntry,,
azt_fundingyear,,,,PricebookEntry,,
azt_goaltype,,,,PricebookEntry,,
azt_importname,,,,PricebookEntry,,
azt_invoiceid,,,,PricebookEntry,,
azt_invoiceproductid,,,,PricebookEntry,,
azt_isbn,,,,PricebookEntry,,
azt_iscompanion,,,,PricebookEntry,,
azt_isprint,,,,PricebookEntry,,
azt_issaas,,,,PricebookEntry,,
azt_jobrole,,,,PricebookEntry,,
azt_jobtitle,,,,PricebookEntry,,
azt_lastactivitydate,,,,PricebookEntry,,
azt_lastmodifiedbyid,,,,PricebookEntry,,
azt_lastname,,,,PricebookEntry,,
azt_leadimportid,,,,PricebookEntry,,
azt_leadsourceid,,,,PricebookEntry,,
azt_licensestatus,,,,PricebookEntry,,
azt_licenseterm,,,,PricebookEntry,,
azt_licensetermmonths,,,,PricebookEntry,,
azt_licensetype,,,,PricebookEntry,,
azt_masecommission,,,,PricebookEntry,,
azt_mileage,,,,PricebookEntry,,
azt_monthstofilteron,,,,PricebookEntry,,
azt_name,,,,PricebookEntry,,
azt_newestclosedate,,,,PricebookEntry,,
azt_newestimatedvalue,,,,PricebookEntry,,
azt_newownerid,,,,PricebookEntry,,
azt_newprobability,,,,PricebookEntry,,
azt_nonsaasstatus,,,,PricebookEntry,,
azt_nonsaastype,,,,PricebookEntry,,
azt_numberoflicenses,,,,PricebookEntry,,
azt_opportunityauditrecordid,,,,PricebookEntry,,
azt_opportunityid,,,,PricebookEntry,,
