fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
businessunitid,Business Unit,lookup,none,False,2025-05-09 16:12:30,,true,0,0,0,0,0,0,0,8,0,0,0,,,,,,
createdon,Created On,datetime,none,False,Skipped (createdon),,true,0,0,0,0,0,0,0,10,0,0,0,,,,,,
description,Description,ntext,none,False,2026-03-22 04:01:26,,true,0,0,0,0,0,0,0,7,0,0,0,,,,,,
emailsignature,Email Signature,lookup,none,False,Never,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
modifiedon,Modified On,datetime,none,False,Skipped (modifiedon),,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
msdyn_assignmentinputcontractid,Assignment Input Contract Id,lookup,none,True,2023-03-08 08:12:44,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
msdyn_channelprofileid,Channel Profile Id,lookup,none,True,Never,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
msdyn_inqueueoverflowrulesetid,Inqueue Overflow Ruleset,lookup,none,True,Never,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
msdyn_intentfamilyid,intentfamilyid,lookup,none,True,Never,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
msdyn_operatinghourid,Operating Hours,lookup,none,True,Never,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
msdyn_prequeueoverflowrulesetid,Prequeue Overflow Ruleset,lookup,none,True,Never,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
name,Name,nvarchar,required,False,2026-03-22 04:01:26,,true,0,0,0,0,0,0,0,23,0,0,0,,,,,,
ownerid,Owner,lookup,required,False,2026-03-22 04:01:26,,true,0,0,0,0,0,0,0,22,0,0,0,,,,,,
statecode,Status,picklist,required,False,2026-03-22 04:01:26,,true,0,0,0,0,0,0,0,20,0,0,0,,,,,,
statuscode,Status Reason,picklist,required,False,2026-03-22 04:01:26,,true,0,0,0,0,0,0,0,6,0,0,0,,,,,,
transactioncurrencyid,Currency,lookup,none,False,2019-10-24 14:34:17,,true,0,0,0,0,0,0,0,8,0,0,0,,,,,,
