fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,notes,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_defaultfreightamount,Default Freight Amount,money,none,True,,,true,,1,1,0,0,0,0,0,1,0,0,0,,,,Quote,Default Freight Amount,Default_Freight_Amount__c
azt_defaultfreightamount_base,Default Freight Amount (Base),money,none,True,,,false,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_discretionarydiscount,Discretionary Discount,money,none,True,,,true,,1,2,0,3,0,0,1,0,0,0,0,,,,Quote,Discretionary Discount,Discretionary_Discount__c
azt_discretionarydiscount_base,Discretionary Discount (Base),money,none,True,,,false,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_discretionarydiscountamt,Discretionary Discount Amt,money,none,True,,,false,,1,0,0,0,0,0,1,2,0,0,0,,,,,,
azt_discretionarydiscountamt_base,Discretionary Discount Amt (Base),money,none,True,,,false,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_freightamtapproved,Freight Amt Approved?,bit,none,True,,"1: Yes, 0: No",true,,1,0,0,0,0,0,0,1,0,0,0,,,,Quote,Freight Approved,Freight_Approved__c
azt_historicalowner,Historical Owner,nvarchar,none,True,,,true,,1,0,0,0,0,3,0,0,0,0,0,,,,Quote,Historical Owner,Historical_Owner__c
azt_ponumber,PO Number,nvarchar,none,True,,,true,,1,0,0,1,0,3,0,2,0,0,0,,,,Quote,PO Number,PO_Number__c
azt_quoteapproval,Quote Approval,picklist,none,True,,"276530000: Does not need approval, 276530001: Needs approval, 276530002: Approved",true,,0,0,0,0,0,2,0,0,0,0,0,,,,Quote,Quote Approval,Quote_Approval__c
azt_quotedcontactid,Quoted Contact,lookup,none,True,,,true,,1,0,0,1,0,3,0,0,0,1,0,,,,Quote,Contact ID,ContactId
azt_recapnotes,Recap Notes,ntext,none,True,,,true,,1,0,0,3,0,2,0,0,0,0,0,,,,Quote,Recap Notes,Recap_Notes__c
azt_recapnotescannedoptions,Recap Notes (Canned Options),picklist,none,True,,"100000004: Internet Renewal, 276530000: Internet, 100000003: Kaplan Series, 100000001: GED Flash, 100000000: Life Skills Print, 276530001: LAN, 276530002: GED Ready Vouchers, 100000002: Third party vendors (ie..SHI), 276530003: COVID-19, 327630000: Print, 327630001: PassAssured",true,,1,0,0,0,0,0,0,0,0,0,0,,,,Quote,Recap Notes Canned Options,Recap_Notes_Canned_Options__c
azt_recordownerid,Record Owner,lookup,none,True,,,true,,1,1,0,3,0,37,0,9,0,1,0,,,,Quote,Record Type ID,RecordTypeId
azt_requestedfreightamt,Requested Freight Amt,money,none,True,,,true,,1,1,0,0,0,0,0,1,0,0,0,,,,Quote,Requested Freight Amt,Requested_Freight_Amt__c
azt_requestedfreightamt_base,Requested Freight Amt (Base),money,none,True,,,false,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_shippingcompany,Ship To Company,nvarchar,none,True,,,true,,1,0,0,0,0,0,0,0,0,0,0,,,,Quote,Ship To Country,ShippingCountry
azt_signedquotereceived,Signed Quote Received?,bit,none,True,,"1: Yes, 0: No",false,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_taxamount,Tax Amount,money,none,True,,,true,,1,0,0,3,0,2,0,0,0,0,0,,,,Quote,Tax Amount,Tax_Amount__c
azt_taxamount_base,Tax Amount (Base),money,none,True,,,false,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
billto_city,,,,False,,,true,,0,0,0,5,0,2,0,0,0,0,0,,,,Quote,Bill To City,BillingCity
billto_contactname,,,,False,,,false,,0,0,0,1,0,2,0,0,0,0,0,,,,,,
billto_country,,,,False,,,true,,0,0,0,1,0,2,0,0,0,0,0,,,,Quote,Bill To Country,BillingCountry
billto_fax,,,,False,,,false,,0,0,0,1,0,2,0,0,0,0,0,,,,,,
billto_line1,,,,False,,,true,,0,0,0,5,0,2,0,1,0,0,0,,,,Quote,Bill To Street 1,Bill_To_Street_1__c
billto_line2,,,,False,,,true,,0,0,0,2,0,2,0,1,0,0,0,,,,Quote,Bill To Street 2,Bill_To_Street_2__c
billto_name,,,,False,,,true,,0,0,0,1,0,2,0,1,0,0,0,,,,Quote,Client: Bill To Name,Client_Bill_To_Name__c
billto_postalcode,,,,False,,,true,,0,0,0,5,0,2,0,1,0,0,0,,,,Quote,Bill To Zip/Postal Code,BillingPostalCode
billto_stateorprovince,,,,False,,,true,,0,0,0,5,0,2,0,1,0,0,0,,,,Quote,Bill To Stateprovince,Bill_To_Stateprovince__c
billto_telephone,,,,False,,,false,,0,0,0,1,0,2,0,0,0,0,0,,,,,,
campaignid,,,,False,,,false,,0,0,0,0,0,2,0,0,0,0,0,,,,,,
closedon,,,,False,,,true,,0,0,0,0,0,2,0,0,0,0,0,,,,Quote,Closed On,Closed_On__c
createdby,Created By,lookup,none,False,,,true,,0,0,0,0,0,2,0,0,0,0,0,,,,Quote,Created By ID,CreatedById
createdon,Created On,datetime,none,False,,,true,,1,7,0,1,0,1,0,10,0,0,0,,,,Quote,Created Date,CreatedDate
customerid,Potential Customer,customer,required,False,,,true,,0,5,0,5,0,14,0,11,0,1,0,,,,Quote,Potential Customer,Potential_Customer__c
discountamount,,,,False,,,true,,1,0,0,3,0,0,0,2,0,0,0,,,,Quote,Quote Discount Amount,Quote_Discount_Amount__c
discountpercentage,,,,False,,,true,,1,0,0,3,0,0,0,1,0,0,0,,,,Quote,Quote Discount,Quote_Discount__c
effectivefrom,,,,False,,,true,,1,0,0,3,0,3,0,0,0,0,0,,,,Quote,Effective From,Effective_From__c
effectiveto,,,,False,,,true,,1,1,0,3,0,4,0,0,0,0,0,,,,Quote,Effective To,Effective_To__c
emailaddress,,,,False,,,false,,0,0,0,0,0,2,0,0,0,0,0,,,,,,
expireson,,,,False,,,false,,0,0,0,0,0,2,0,0,0,0,0,,,,,,
freightamount,Freight Amount,money,none,False,,,true,,1,1,0,4,0,2,0,1,0,0,0,,,,Quote,Freight Amount,Freight_Amount__c
freightamount_base,Freight Amount (Base),money,none,False,,,false,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
name,Name,nvarchar,required,False,,,true,,0,8,0,10,0,17,0,23,0,0,0,,,,Quote,Quote Name,Name
quoteid,Quote,uniqueidentifier,required,False,,,true,,0,5,0,4,0,3,0,20,0,1,0,,,,Quote,Quote GUID,Quote_GUID__c
quotenumber,Quote ID,nvarchar,systemrequired,False,,,true,,0,1,0,4,0,0,0,0,0,0,0,,,,Quote,Quote Number,QuoteNumber
requestdeliveryby,,,,False,,,false,,0,0,0,0,0,2,0,1,0,0,0,,,,,,
shipto_city,,,,False,,,true,,0,0,0,2,0,2,0,0,0,0,0,,,,Quote,Ship To City,ShippingCity
shipto_contactname,Shipping Contact,nvarchar,none,False,,,true,,1,0,0,3,0,3,0,0,0,0,0,,,,Quote,Shipping Contact,Shipping_Contact__c
shipto_country,,,,False,,,true,,0,0,0,2,0,2,0,0,0,0,0,,,,Quote,Ship To Country,ShippingCountry
shipto_fax,,,,False,,,false,,0,0,0,1,0,2,0,0,0,0,0,,,,,,
shipto_freighttermscode,,,,False,,,false,,0,0,0,0,0,2,0,0,0,0,0,,,,,,
shipto_line1,,,,False,,,true,,0,0,0,2,0,2,0,1,0,0,0,,,,Quote,Ship To Street 1,Ship_To_Street_1__c
shipto_line2,,,,False,,,true,,0,0,0,2,0,2,0,1,0,0,0,,,,Quote,Ship To Street 2,Ship_To_Street_2__c
shipto_line3,,,,False,,,true,,0,0,0,1,0,2,0,1,0,0,0,,,,Quote,Ship To Street 3,Ship_To_Street_3__c
shipto_name,,,,False,,,true,,1,0,0,2,0,2,0,1,0,0,0,,,,Quote,Ship To Name,ShippingName
shipto_postalcode,,,,False,,,true,,0,0,0,2,0,2,0,1,0,0,0,,,,Quote,Ship To Zip/Postal Code,ShippingPostalCode
shipto_stateorprovince,,,,False,,,true,,0,0,0,2,0,2,0,1,0,0,0,,,,Quote,Ship To Stateprovince,Ship_To_Stateprovince__c
shipto_telephone,,,,False,,,false,,0,0,0,1,0,2,0,0,0,0,0,,,,,,
statecode,Status,state,systemrequired,False,,,true,,0,8,0,1,0,10,0,20,0,0,0,,,,Quote,Status,Status
