fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_discretionarydiscount,Discretionary Discount,money,none,True,2026-03-20 22:35:37,,true,1,0,0,3,0,0,1,0,0,0,0,,,,,,
azt_discretionarydiscount_base,Discretionary Discount (Base),money,none,True,2026-03-20 22:35:37,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_discretionarydiscountamt,Discretionary Discount Amt,money,none,True,2026-03-20 21:16:47,,true,1,0,0,0,0,0,0,2,0,0,0,,,,,,
azt_discretionarydiscountamt_base,Discretionary Discount Amt (Base),money,none,True,2026-03-20 21:16:47,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_issaas,Is SaaS?,bit,none,True,2026-03-20 22:35:37,"1: Yes, 0: No",true,1,0,0,0,0,0,0,2,0,0,0,,,,,,
azt_licensetermmonths,License Term (Months),int,none,True,2026-03-20 21:44:37,,true,1,0,0,0,0,1,0,22,0,0,0,,,,,,
azt_licensetype,License Type,picklist,required,True,2026-03-20 22:35:37,,true,1,1,0,0,0,1,0,25,0,0,0,,,,,,
azt_nonsaastype,Non-SaaS Type,picklist,none,True,2022-11-03 17:35:24,"276530000: Life Skills, 276530001: Kaplan Books, 276530002: GED Vouchers, 276530003: Other",true,1,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_opportunityproductid,Opportunity Product,lookup,none,True,2026-03-20 15:49:27,,true,1,0,0,0,0,0,0,10,0,1,0,,,,,,
baseamount,Amount,money,none,False,2026-03-20 22:35:37,,true,0,0,0,6,0,0,0,4,0,0,0,,,,,,
createdon,Created On,datetime,none,False,Skipped (createdon),,true,0,0,0,0,0,0,0,10,0,0,0,,,,,,
description,Description,ntext,none,False,2026-03-20 21:38:28,,true,0,0,0,0,0,0,0,7,0,0,0,,,,,,
extendedamount,Extended Amount,money,none,False,2026-03-20 22:35:37,,true,0,1,0,0,0,0,0,13,0,0,0,,,,,,
ispriceoverridden,Price Overridden,bit,none,False,2026-03-20 22:35:37,,true,0,0,0,0,0,0,0,6,0,0,0,,,,,,
