fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,notes,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_actualnucshipdate,Actual NUC Ship Date,datetime,none,True,,,true,,1,0,0,0,0,2,0,0,0,0,0,Order,CRM Actual NUC Ship Date,CRM_Actual_NUC_Ship_Date__c,Order,Actual Nuc Ship Date,Actual_Nuc_Ship_Date__c
azt_actualprintshipdate,Actual Print Ship Date,datetime,none,True,,,true,,1,0,0,0,0,2,0,0,0,0,0,Order,CRM Actual Print Ship Date,CRM_Actual_Print_Ship_Date__c,Order,Actual Print Ship Date,Actual_Print_Ship_Date__c
azt_actualtotalcommission,Actual Total Commission,money,none,True,,,true,,1,0,0,0,0,0,1,0,0,0,0,Order,CRM Actual Total Commission,CRM_Actual_Total_Commission__c,Order,Actual Total Commission,Actual_Total_Commission__c
azt_actualtotalcommission_base,Actual Total Commission (Base),money,none,True,,,false,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_additionalfees,Additional Fees,money,none,True,,,true,,1,0,0,0,0,5,1,0,0,0,0,Order,CRM Additional Fees,CRM_Additional_Fees__c,Order,Additional Fees,Additional_Fees__c
azt_additionalfees_base,Additional Fees (Base),money,none,True,,,false,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_allocationconfirmation,Allocation Confirmation,picklist,none,True,,,true,,1,0,0,0,0,2,0,0,0,0,0,,,,Order,Allocation Confirmation,Allocation_Confirmation__c
azt_alternatecovers,Alternate Covers?,picklist,none,True,,,true,,1,0,0,0,0,2,0,0,0,0,0,Order,CRM Alternate Covers,CRM_Alternate_Covers__c,Order,Alternate Covers,Alternate_Covers__c
azt_bookingurl,Booking Url,nvarchar,none,True,,,true,,1,0,0,0,0,0,0,2,0,0,0,,,,Order,Booking Url,Booking_Url__c
azt_contactid,Contact,lookup,none,True,,,true,,1,0,0,0,0,1,0,0,0,1,0,Order,Bill To Contact,BillToContactId,Order,Contract ID,ContractId
azt_customfilesreceived,Custom Files Received?,picklist,none,True,,,false,,1,0,0,0,0,2,0,0,0,0,0,Order,CRM Custom Files Received,CRM_Custom_Files_Received__c,,,
azt_customfilesreceivedon,Custom Files Received On,datetime,none,True,,,false,,1,0,0,0,0,2,0,0,0,0,0,Order,CRM Custom Files Received On,CRM_Custom_Files_Received_On__c,,,
azt_customizationdate,Customization Date,datetime,none,True,,,false,,1,0,0,0,0,2,0,0,0,0,0,Order,CRM Customization Date,CRM_Customization_Date__c,,,
azt_customizationrequired,Customization Required?,picklist,none,True,,,true,,1,0,0,0,0,2,0,0,0,0,0,Order,CRM Customization Required?,CRM_Customization_Required__c,Order,Customization Required,Customization_Required__c
azt_discretionarydiscountamt,Discretionary Discount Amt,money,none,True,,,false,,1,0,0,0,0,0,0,2,0,0,0,Order,CRM Discretionary Discount Amount,CRM_Discretionary_Discount_Amount__c,,,
azt_discretionarydiscountamt_base,Discretionary Discount Amt (Base),money,none,True,,,false,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
