fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,notes,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_discretionarydiscount,Discretionary Discount,money,none,True,,,true,,1,0,0,0,0,0,1,0,0,0,0,,,,,,
azt_discretionarydiscount_base,Discretionary Discount (Base),money,none,True,,,false,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_discretionarydiscountamt,Discretionary Discount Amt,money,none,True,,,true,,1,0,0,0,0,0,0,2,0,0,0,,,,,,
azt_discretionarydiscountamt_base,Discretionary Discount Amt (Base),money,none,True,,,false,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_estfulfillmentdate,Est Fulfillment Date,datetime,none,True,,,false,,1,0,0,0,0,1,0,2,0,0,0,,,,,,
azt_hasloadingdock,Has Loading Dock?,bit,none,True,,"1: Yes, 0: No",true,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_issaas,Is SaaS?,bit,none,True,,"1: Yes, 0: No",true,,1,0,0,0,0,0,0,2,0,0,0,,,,,,
azt_itemstatus,Item Status,picklist,none,True,,"276530000: Ordered, 276530001: Pending Fulfillment, 276530002: Fulfilled",true,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_licenseenddate,License End Date,datetime,none,True,,,true,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_licensestartdate,License Start Date,datetime,none,True,,,true,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_licensetermmonths,License Term (Months),int,none,True,,,true,,1,0,0,0,0,1,0,22,0,0,0,,,,,,
azt_licensetype,License Type,picklist,none,True,,,true,,1,2,0,0,0,1,0,25,0,0,0,,,,,,
azt_lsebookfilesprovidedon,LSE Book Files Provided On,datetime,none,True,,,false,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_lsebooksfile,LSE Books Files Provided?,picklist,none,True,,"276530000: Yes, 276530001: No",false,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_lsecustomartapproved,LSE Custom Art Approved?,picklist,none,True,,"276530000: Yes, 276530001: No",false,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_lsecustomartapprovedon,LSE Custom Art Approved On,datetime,none,True,,,false,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_lseproductionstartdate,LSE Production Start Date,datetime,none,True,,,false,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_nonsaastype,Non-SaaS Type,picklist,none,True,,"276530000: Life Skills, 276530001: Kaplan Books, 276530002: GED Vouchers, 276530003: Other",false,,1,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_orderdate,Order Date,datetime,none,True,,,false,,2,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_ordertype,Order Type,picklist,none,True,,"276530000: Companion, 276530001: Kaplan, 276530002: Print, 276530003: Software",true,,1,0,0,0,0,1,0,1,0,0,0,,,,,,
azt_shippingdate,Shipping Date,datetime,none,True,,,false,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_softwarelicenseid,Software License,lookup,none,True,,,true,,1,0,0,0,0,2,0,6,0,1,0,,,,,,
extendedamount,,,,False,,,true,,0,2,0,1,0,0,0,13,0,0,0,,,,,,
isproductoverridden,,,,False,,,true,,0,2,0,0,0,0,0,4,0,0,0,,,,,,
manualdiscountamount,,,,False,,,true,,1,0,0,0,0,0,0,9,0,0,0,,,,,,
priceperunit,,,,False,,,true,,0,2,0,1,0,0,0,8,0,0,0,,,,,,
productdescription,,,,False,,,false,,0,2,0,1,0,1,0,13,0,0,0,,,,,,
quantitybackordered,,,,False,,,false,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
quantitycancelled,,,,False,,,false,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
quantityshipped,,,,False,,,false,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
requestdeliveryby,,,,False,,,false,,1,0,0,0,0,0,0,1,0,0,0,,,,,,
salesorderdetailid,Salesorderdetail,uniqueidentifier,required,False,,,true,,0,2,0,1,0,0,0,9,0,0,0,,,,,,
salesorderdetailname,,,,False,,,true,,0,2,0,0,0,0,0,1,0,0,0,,,,,,
