fieldName,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
accountid,,,,Solution,,
activityid,,,,Solution,,
activitytypecode,,,,Solution,,
actualclosedate,,,,Solution,,
address1_stateorprovince,,,,Solution,,
address1_telephone1,,,,Solution,,
adx_resolutiondate,,,,Solution,,
amountdatatype,,,,Solution,,
annotationid,,,,Solution,,
azt_account,,,,Solution,,
azt_accountid,,,,Solution,,
azt_accountleadgenerationid,,,,Solution,,
azt_accountleadgenname,,,,Solution,,
azt_accounttype,,,,Solution,,
azt_addresssearch,,,,Solution,,
azt_addresssearch2,,,,Solution,,
azt_addtocrtqueue,,,,Solution,,
azt_ageendedstage,,,,Solution,,
azt_allocatedtoid,,,,Solution,,
azt_allocationtype,,,,Solution,,
azt_amount,,,,Solution,,
azt_annualspend,,,,Solution,,
azt_approvalstatus,,,,Solution,,
azt_autocreatecallback,,,,Solution,,
azt_autonumberid,,,,Solution,,
azt_azteccustomerid,,,,Solution,,
azt_bookingurl,,,,Solution,,
azt_callbackin,,,,Solution,,
azt_callbackon,,,,Solution,,
azt_caseid,,,,Solution,,
azt_commissionamount,,,,Solution,,
azt_commissionid,,,,Solution,,
azt_commissionpaymentid,,,,Solution,,
azt_companyname,,,,Solution,,
azt_compcompleted,,,,Solution,,
azt_compgoalid,,,,Solution,,
azt_compgoaltypeid,,,,Solution,,
azt_compplanamountid,,,,Solution,,
azt_concurrentusers,,,,Solution,,
azt_copydescription,,,,Solution,,
azt_copysubject,,,,Solution,,
azt_currentnumber,,,,Solution,,
azt_customerid,,,,Solution,,
azt_customertrainingid,,,,Solution,,
azt_dateexitedstage,,,,Solution,,
azt_defaultfreightamount,,,,Solution,,
azt_description,,,,Solution,,
azt_discountamount,,,,Solution,,
azt_discretionarydiscountamt,,,,Solution,,
azt_duedate,,,,Solution,,
azt_effectivedate,,,,Solution,,
azt_email,,,,Solution,,
azt_enddate,,,,Solution,,
azt_engagementid,,,,Solution,,
azt_estfulfillmentdate,,,,Solution,,
azt_evaluate,,,,Solution,,
azt_expenseamount,,,,Solution,,
azt_expenseid,,,,Solution,,
azt_expensereportid,,,,Solution,,
azt_expensetype,,,,Solution,,
azt_expirationdate,,,,Solution,,
azt_extension,,,,Solution,,
azt_fieldtoautonumber,,,,Solution,,
azt_firstname,,,,Solution,,
azt_fiscalperiodend,,,,Solution,,
azt_fiscalperiodstart,,,,Solution,,
azt_freightamtapproved,,,,Solution,,
azt_fsrassignedon,,,,Solution,,
azt_fsremail,,,,Solution,,
azt_fsrid,,,,Solution,,
azt_fsrmobiletelephone,,,,Solution,,
azt_fsrtelephone,,,,Solution,,
azt_fsrtelephoneextension,,,,Solution,,
azt_fundingid,,,,Solution,,
azt_fundingyear,,,,Solution,,
azt_goaltype,,,,Solution,,
azt_importname,,,,Solution,,
azt_invoiceid,,,,Solution,,
azt_invoiceproductid,,,,Solution,,
azt_isbn,,,,Solution,,
azt_iscompanion,,,,Solution,,
azt_isprint,,,,Solution,,
azt_issaas,,,,Solution,,
azt_jobrole,,,,Solution,,
azt_jobtitle,,,,Solution,,
azt_lastactivitydate,,,,Solution,,
azt_lastmodifiedbyid,,,,Solution,,
azt_lastname,,,,Solution,,
azt_leadimportid,,,,Solution,,
azt_leadsourceid,,,,Solution,,
azt_licensestatus,,,,Solution,,
azt_licenseterm,,,,Solution,,
azt_licensetermmonths,,,,Solution,,
azt_licensetype,,,,Solution,,
azt_masecommission,,,,Solution,,
azt_mileage,,,,Solution,,
azt_monthstofilteron,,,,Solution,,
azt_name,,,,Solution,,
azt_newestclosedate,,,,Solution,,
azt_newestimatedvalue,,,,Solution,,
azt_newownerid,,,,Solution,,
azt_newprobability,,,,Solution,,
azt_nonsaasstatus,,,,Solution,,
azt_nonsaastype,,,,Solution,,
azt_numberoflicenses,,,,Solution,,
azt_opportunityauditrecordid,,,,Solution,,
azt_opportunityid,,,,Solution,,
azt_opportunityproductid,,,,Solution,,
azt_orderid,,,,Solution,,
azt_orderlineid,,,,Solution,,
azt_orderproductid,,,,Solution,,
azt_orderstageid,,,,Solution,,
azt_ordertemplatelines,,,,Solution,,
azt_ordertype,,,,Solution,,
azt_originatingleadimportid,,,,Solution,,
azt_paid,,,,Solution,,
azt_paidon,,,,Solution,,
azt_parentopportunityid,,,,Solution,,
azt_parentorderid,,,,Solution,,
azt_payablecommission,,,,Solution,,
azt_paymentdate,,,,Solution,,
azt_paymentid,,,,Solution,,
azt_percentage,,,,Solution,,
azt_percentagepaid,,,,Solution,,
azt_periodend,,,,Solution,,
azt_periodstart,,,,Solution,,
azt_phone,,,,Solution,,
azt_ponumber,,,,Solution,,
azt_prefix,,,,Solution,,
azt_prefixhasseparator,,,,Solution,,
azt_prefixseparator,,,,Solution,,
azt_prefixseparatorisspace,,,,Solution,,
azt_previousestclosedate,,,,Solution,,
azt_previousestimatedvalue,,,,Solution,,
azt_previousownerid,,,,Solution,,
